Scene,Planner,Success,Length,Clearance,NarrowOK,Time
Scene 1 (easy-w7),A*,True,51.314,1,True,0.0022
Scene 1 (easy-w7),Dijkstra,True,51.314,1,True,0.0031
Scene 1 (easy-w7),RRT,True,55.687,1,True,0.0008
Scene 1 (easy-w7),RRT*,True,50.792,1,True,0.0179
Scene 1 (easy-w7),Hybrid-A*,True,51.314,1,True,0.0015
Scene 1 (easy-w7),Ours,True,54.828,3,True,0.013
Scene 2 (medium-w6),A*,True,51.899,1,True,0.0022
Scene 2 (medium-w6),Dijkstra,True,51.899,1,True,0.0032
Scene 2 (medium-w6),RRT,True,60.516,1,True,0.0023
Scene 2 (medium-w6),RRT*,True,51.797,1,True,0.0176
Scene 2 (medium-w6),Hybrid-A*,True,51.314,1,True,0.0013
Scene 2 (medium-w6),Ours,True,51.899,1,True,0.0142
Scene 3 (hard-w5),A*,True,52.485,1,True,0.0022
Scene 3 (hard-w5),Dijkstra,True,52.485,1,True,0.003
Scene 3 (hard-w5),RRT,True,52.525,1,True,0.0021
Scene 3 (hard-w5),RRT*,True,53.225,2,True,0.0161
Scene 3 (hard-w5),Hybrid-A*,True,52.971,1,True,0.0018
Scene 3 (hard-w5),Ours,True,52.485,1,True,0.0135
Scene 4 (narrow-w4),A*,False,0.0,0.0,False,0.002
Scene 4 (narrow-w4),Dijkstra,False,0.0,0.0,False,0.0016
Scene 4 (narrow-w4),RRT,False,0.0,0.0,False,0.0072
Scene 4 (narrow-w4),RRT*,False,0.0,0.0,False,0.0087
Scene 4 (narrow-w4),Hybrid-A*,False,0.0,0.0,False,0.002
Scene 4 (narrow-w4),Ours,False,0.0,0.0,False,0.0107
Scene 5 (wide-easy),A*,True,49.556,4,True,0.0071
Scene 5 (wide-easy),Dijkstra,True,49.556,4,True,0.0071
Scene 5 (wide-easy),RRT,True,55.785,4,True,0.0013
Scene 5 (wide-easy),RRT*,True,46.712,4,True,0.0346
Scene 5 (wide-easy),Hybrid-A*,True,50.971,3,True,0.0148
Scene 5 (wide-easy),Ours,True,49.556,4,True,0.2413
Scene 6 (multi-passage),A*,True,51.314,1,True,0.0025
Scene 6 (multi-passage),Dijkstra,True,51.314,1,True,0.0044
Scene 6 (multi-passage),RRT,True,57.872,1,True,0.0013
Scene 6 (multi-passage),RRT*,True,51.183,1,True,0.0203
Scene 6 (multi-passage),Hybrid-A*,True,51.314,1,True,0.002
Scene 6 (multi-passage),Ours,True,53.657,3,True,0.0133
