Strategy,Seed,Mission,ObstacleX,ObstacleStart,ObstacleDuration,Success,Replans,WaitSteps,PathLength,TotalCost
Static plan,0,0,38,25,4,False,0,0,26.0,266.0
Static plan,0,1,30,17,25,False,0,0,18.0,258.0
Static plan,0,2,26,15,24,False,0,0,15.0,255.0
Static plan,1,0,30,20,33,False,0,0,20.0,260.0
Static plan,1,1,38,25,23,False,0,0,26.0,266.0
Static plan,1,2,30,18,13,False,0,0,18.0,258.0
Static plan,2,0,30,20,27,False,0,0,20.0,260.0
Static plan,2,1,34,22,32,False,0,0,22.0,262.0
Static plan,2,2,30,19,29,False,0,0,19.0,259.0
Static plan,3,0,30,17,4,False,0,0,18.0,258.0
Static plan,3,1,30,19,19,False,0,0,19.0,259.0
Static plan,3,2,38,28,19,False,0,0,28.0,268.0
Static plan,4,0,26,16,9,False,0,0,16.0,256.0
Static plan,4,1,34,21,8,False,0,0,22.0,262.0
Static plan,4,2,38,27,34,False,0,0,27.0,267.0
Static plan,5,0,30,20,10,False,0,0,20.0,260.0
Static plan,5,1,30,20,19,False,0,0,20.0,260.0
Static plan,5,2,38,26,11,False,0,0,26.0,266.0
Static plan,6,0,34,24,5,False,0,0,24.0,264.0
Static plan,6,1,26,16,36,False,0,0,16.0,256.0
Static plan,6,2,34,22,6,False,0,0,22.0,262.0
Static plan,7,0,26,15,4,False,0,0,15.0,255.0
Static plan,7,1,26,16,36,False,0,0,16.0,256.0
Static plan,7,2,38,28,5,False,0,0,28.0,268.0
Static plan,8,0,30,18,17,False,0,0,18.0,258.0
Static plan,8,1,30,20,42,False,0,0,20.0,260.0
Static plan,8,2,26,13,35,False,0,0,14.0,254.0
Static plan,9,0,38,26,9,False,0,0,26.0,266.0
Static plan,9,1,26,15,28,False,0,0,15.0,255.0
Static plan,9,2,30,19,23,False,0,0,19.0,259.0
Static plan,10,0,26,15,43,False,0,0,15.0,255.0
Static plan,10,1,38,27,27,False,0,0,27.0,267.0
Static plan,10,2,34,24,23,False,0,0,24.0,264.0
Static plan,11,0,38,25,21,False,0,0,26.0,266.0
Static plan,11,1,30,20,9,False,0,0,20.0,260.0
Static plan,11,2,34,23,5,False,0,0,23.0,263.0
Static plan,12,0,34,22,30,False,0,0,22.0,262.0
Static plan,12,1,26,14,10,False,0,0,14.0,254.0
Static plan,12,2,30,20,8,False,0,0,20.0,260.0
Static plan,13,0,26,15,12,False,0,0,15.0,255.0
Static plan,13,1,38,26,19,False,0,0,26.0,266.0
Static plan,13,2,30,20,23,False,0,0,20.0,260.0
Static plan,14,0,30,19,13,False,0,0,19.0,259.0
Static plan,14,1,26,16,41,False,0,0,16.0,256.0
Static plan,14,2,34,21,12,False,0,0,22.0,262.0
Static plan,15,0,26,15,6,False,0,0,15.0,255.0
Static plan,15,1,38,25,43,False,0,0,26.0,266.0
Static plan,15,2,34,21,33,False,0,0,22.0,262.0
Static plan,16,0,26,15,21,False,0,0,15.0,255.0
Static plan,16,1,38,25,3,False,0,0,26.0,266.0
Static plan,16,2,30,20,33,False,0,0,20.0,260.0
Static plan,17,0,30,20,10,False,0,0,20.0,260.0
Static plan,17,1,30,20,31,False,0,0,20.0,260.0
Static plan,17,2,30,20,38,False,0,0,20.0,260.0
Static plan,18,0,30,18,26,False,0,0,18.0,258.0
Static plan,18,1,38,27,21,False,0,0,27.0,267.0
Static plan,18,2,26,16,35,False,0,0,16.0,256.0
Static plan,19,0,38,25,30,False,0,0,26.0,266.0
