Suite,Variant,Trials,Rows,ExecutableTasks,ExecutableRate,ExecutableCI95Low,ExecutableCI95High,CollisionRate,FailedPassageSelections,MeanAttemptsOrReplans,MeanWaitSteps,MeanPathLength,MeanClearance,MeanPredictionMAE,MeanExpandedStates,MeanPlanningTime,MeanTotalCost
dataset-hidden-blockage-easy,ATR proxy,5,9,1,0.2,0.0362,0.6245,0.8889,8,1.4444,0.0,120.8288,0.0,0.0,0.0,0.053944,211.9399
dataset-hidden-blockage-easy,ATR proxy + failure memory,5,9,5,1.0,0.5655,1.0,0.4444,4,1.4444,0.0,131.7651,0.0,0.0,0.0,0.071833,178.4318
dataset-hidden-blockage-easy,DDP proxy,5,10,0,0.0,0.0,0.4345,1.0,10,1.5,0.0,121.2954,0.0,0.0,0.0,0.22837,223.7954
dataset-hidden-blockage-easy,DDP proxy + failure memory,5,10,5,1.0,0.5655,1.0,0.5,5,1.5,0.0,131.4019,0.0,0.0,0.0,0.24794,183.9019
dataset-hidden-blockage-easy,Ours full,5,10,5,1.0,0.5655,1.0,0.5,5,1.5,0.0,131.5486,0.0,0.0,0.0,1.65548,184.0486
dataset-hidden-blockage-easy,RPP proxy,5,10,0,0.0,0.0,0.4345,1.0,10,1.5,0.0,121.1202,0.0,0.0,0.0,0.0473,223.6202
dataset-hidden-blockage-easy,RPP proxy + failure memory,5,10,5,1.0,0.5655,1.0,0.5,5,1.5,0.0,131.1385,0.0,0.0,0.0,0.06075,183.6385
dataset-hidden-blockage-easy,RPP proxy + random retry,5,10,0,0.0,0.0,0.4345,1.0,10,1.5,0.0,121.1202,0.0,0.0,0.0,0.04785,223.6202
dataset-hidden-blockage-easy,RTEB proxy,5,9,1,0.2,0.0362,0.6245,0.8889,8,1.4444,0.0,120.8288,0.0,0.0,0.0,1.585,211.9399
dataset-hidden-blockage-easy,RTEB proxy + failure memory,5,9,5,1.0,0.5655,1.0,0.4444,4,1.4444,0.0,131.7651,0.0,0.0,0.0,1.997544,178.4318
dataset-hidden-blockage-hard,ATR proxy,5,9,1,0.2,0.0362,0.6245,0.8889,8,1.4444,0.0,120.8288,0.0,0.0,0.0,0.0544,211.9399
dataset-hidden-blockage-hard,ATR proxy + failure memory,5,9,4,0.8,0.3755,0.9638,0.5556,6,1.4444,0.0,131.3746,0.0,0.0,0.0,0.070756,189.1523
dataset-hidden-blockage-hard,DDP proxy,5,10,0,0.0,0.0,0.4345,1.0,10,1.5,0.0,121.2954,0.0,0.0,0.0,0.22856,223.7954
