Suite,Variant,Seed,Mission,Attempt,TrajectoryType,Planned,Executable,Collision,UsedFailedPassage,Replans,WaitSteps,TimeSteps,PathLength,MinClearance,PredictionMAE,MeanRiskRadius,ExpandedStates,MeanPlanningTime,TotalCost
dataset-static,RPP proxy,0,0,1,,True,True,False,False,0,0,0,120.581,0,0.0,0.0,0,0.074,120.581
dataset-static,ATR proxy,0,0,1,,True,True,False,False,0,0,0,118.823,0,0.0,0.0,0,0.0621,118.823
dataset-static,DDP proxy,0,0,1,,True,True,False,False,0,0,0,120.581,0,0.0,0.0,0,0.2492,120.581
dataset-static,RTEB proxy,0,0,1,,True,True,False,False,0,0,0,118.823,0,0.0,0.0,0,2.2976,118.823
dataset-static,Ours full,0,0,1,,True,True,False,False,0,0,0,120.581,0,0.0,0.0,0,2.0367,120.581
dataset-static,RPP proxy,1,1,1,,True,True,False,False,0,0,0,121.042,0,0.0,0.0,0,0.0732,121.042
dataset-static,ATR proxy,1,1,1,,True,True,False,False,0,0,0,120.456,0,0.0,0.0,0,0.0743,120.456
dataset-static,DDP proxy,1,1,1,,True,True,False,False,0,0,0,121.042,0,0.0,0.0,0,0.2611,121.042
dataset-static,RTEB proxy,1,1,1,,True,True,False,False,0,0,0,120.456,0,0.0,0.0,0,2.1399,120.456
dataset-static,Ours full,1,1,1,,True,True,False,False,0,0,0,121.042,0,0.0,0.0,0,1.8608,121.042
dataset-static,RPP proxy,2,2,1,,True,True,False,False,0,0,0,122.527,0,0.0,0.0,0,0.0305,122.527
dataset-static,ATR proxy,2,2,1,,True,True,False,False,0,0,0,122.527,0,0.0,0.0,0,0.0435,122.527
dataset-static,DDP proxy,2,2,1,,True,True,False,False,0,0,0,122.527,0,0.0,0.0,0,0.2686,122.527
dataset-static,RTEB proxy,2,2,1,,True,True,False,False,0,0,0,122.527,0,0.0,0.0,0,1.1344,122.527
dataset-static,Ours full,2,2,1,,True,True,False,False,0,0,0,122.527,0,0.0,0.0,0,0.9047,122.527
dataset-static,RPP proxy,3,3,1,,True,True,False,False,0,0,0,120.811,0,0.0,0.0,0,0.0349,120.811
dataset-static,ATR proxy,3,3,1,,True,True,False,False,0,0,0,121.397,0,0.0,0.0,0,0.0404,121.397
dataset-static,DDP proxy,3,3,1,,True,True,False,False,0,0,0,121.983,0,0.0,0.0,0,0.2064,121.983
dataset-static,RTEB proxy,3,3,1,,True,True,False,False,0,0,0,121.397,0,0.0,0.0,0,1.1649,121.397
dataset-static,Ours full,3,3,1,,True,True,False,False,0,0,0,121.983,0,0.0,0.0,0,0.8626,121.983
dataset-static,RPP proxy,4,4,1,,True,True,False,False,0,0,0,120.64,0,0.0,0.0,0,0.0389,120.64
dataset-static,ATR proxy,4,4,1,,True,True,False,False,0,0,0,121.225,0,0.0,0.0,0,0.0472,121.225
dataset-static,DDP proxy,4,4,1,,True,True,False,False,0,0,0,120.344,0,0.0,0.0,0,0.1581,120.344
dataset-static,RTEB proxy,4,4,1,,True,True,False,False,0,0,0,121.225,0,0.0,0.0,0,1.0332,121.225
dataset-static,Ours full,4,4,1,,True,True,False,False,0,0,0,121.811,0,0.0,0.0,0,0.7639,121.811
dataset-hidden-blockage,RPP proxy,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.0578,220.581
dataset-hidden-blockage,RPP proxy,0,0,2,"(376, 225)",True,False,True,True,1,0,0,120.581,0,0.0,0.0,0,0.0547,225.581
dataset-hidden-blockage,RPP proxy + random retry,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.054,220.581
dataset-hidden-blockage,RPP proxy + random retry,0,0,2,"(376, 225)",True,False,True,True,1,0,0,120.581,0,0.0,0.0,0,0.0553,225.581
dataset-hidden-blockage,RPP proxy + failure memory,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.0546,220.581
dataset-hidden-blockage,RPP proxy + failure memory,0,0,2,"(376, 225)",True,True,False,False,1,0,0,188.581,0,0.0,0.0,0,0.175,193.581
dataset-hidden-blockage,ATR proxy,0,0,1,"(376, 225)",True,False,True,True,0,0,0,118.823,0,0.0,0.0,0,0.0597,218.823
dataset-hidden-blockage,ATR proxy,0,0,2,"(376, 225)",True,False,True,True,1,0,0,118.823,0,0.0,0.0,0,0.0602,223.823
dataset-hidden-blockage,ATR proxy + failure memory,0,0,1,"(376, 225)",True,False,True,True,0,0,0,118.823,0,0.0,0.0,0,0.059,218.823
dataset-hidden-blockage,ATR proxy + failure memory,0,0,2,"(376, 225)",True,True,False,False,1,0,0,187.995,0,0.0,0.0,0,0.1865,192.995
dataset-hidden-blockage,DDP proxy,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.2427,220.581
dataset-hidden-blockage,DDP proxy,0,0,2,"(376, 225)",True,False,True,True,1,0,0,120.581,0,0.0,0.0,0,0.2444,225.581
dataset-hidden-blockage,DDP proxy + failure memory,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.2436,220.581
dataset-hidden-blockage,DDP proxy + failure memory,0,0,2,"(376, 225)",True,True,False,False,1,0,0,188.581,0,0.0,0.0,0,0.3608,193.581
