Case,Group,GroundTruthFailure,PredictedFailure,TruePositive,FalsePositive,FalseNegative,TrueNegative,ProjectedCells,OverlapCells,Matches,BestSimilarity
positive-failed-000,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-001,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-002,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-003,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-004,failed-passage,True,True,True,False,False,False,45,45,1,0.9753
positive-failed-005,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-006,failed-passage,True,True,True,False,False,False,45,45,1,0.9753
positive-failed-007,failed-passage,True,True,True,False,False,False,45,45,1,0.9753
positive-failed-008,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-009,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-010,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-011,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-012,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-013,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-014,failed-passage,True,True,True,False,False,False,45,45,1,0.9753
positive-failed-015,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-016,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-017,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-018,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-019,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-020,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-021,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-022,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-023,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-024,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-025,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-026,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-027,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-028,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-029,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-030,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-031,failed-passage,True,True,True,False,False,False,45,45,1,0.9753
positive-failed-032,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-033,failed-passage,True,True,True,False,False,False,45,45,1,0.9753
positive-failed-034,failed-passage,True,True,True,False,False,False,45,45,1,0.9753
positive-failed-035,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-036,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-037,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-038,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-039,failed-passage,True,True,True,False,False,False,45,45,1,0.9753
positive-failed-040,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-041,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-042,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-043,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-044,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-045,failed-passage,True,True,True,False,False,False,45,45,1,0.9753
positive-failed-046,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-047,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-048,failed-passage,True,True,True,False,False,False,45,45,1,0.9753
positive-failed-049,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-050,failed-passage,True,True,True,False,False,False,45,45,1,0.9753
positive-failed-051,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-052,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-053,failed-passage,True,True,True,False,False,False,45,45,1,0.9753
positive-failed-054,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-055,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-056,failed-passage,True,True,True,False,False,False,45,45,1,0.9753
positive-failed-057,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-058,failed-passage,True,True,True,False,False,False,45,45,1,0.9753
positive-failed-059,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-060,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-061,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-062,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-063,failed-passage,True,True,True,False,False,False,45,45,1,0.9753
positive-failed-064,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-065,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-066,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-067,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-068,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-069,failed-passage,True,True,True,False,False,False,45,45,1,0.9753
positive-failed-070,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-071,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-072,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-073,failed-passage,True,True,True,False,False,False,45,45,1,1.0
positive-failed-074,failed-passage,True,True,True,False,False,False,45,45,1,0.9753
positive-failed-075,failed-passage,True,True,True,False,False,False,45,45,1,0.9753
positive-failed-076,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
positive-failed-077,failed-passage,True,True,True,False,False,False,45,45,1,0.9877
