Suite,Variant,Seed,Mission,Attempt,TrajectoryType,Planned,Executable,Collision,UsedFailedPassage,Replans,WaitSteps,TimeSteps,PathLength,MinClearance,PredictionMAE,MeanRiskRadius,ExpandedStates,MeanPlanningTime,TotalCost
dataset-static,RPP proxy,0,0,1,,True,True,False,False,0,0,0,120.581,0,0.0,0.0,0,0.0779,120.581
dataset-static,RPP proxy + random retry,0,0,1,,True,True,False,False,0,0,0,120.581,0,0.0,0.0,0,0.0557,120.581
dataset-static,RPP proxy + failure memory,0,0,1,,True,True,False,False,0,0,0,120.581,0,0.0,0.0,0,0.0552,120.581
dataset-static,ATR proxy,0,0,1,,True,True,False,False,0,0,0,118.823,0,0.0,0.0,0,0.0586,118.823
dataset-static,ATR proxy + failure memory,0,0,1,,True,True,False,False,0,0,0,118.823,0,0.0,0.0,0,0.0579,118.823
dataset-static,DDP proxy,0,0,1,,True,True,False,False,0,0,0,120.581,0,0.0,0.0,0,0.2426,120.581
dataset-static,DDP proxy + failure memory,0,0,1,,True,True,False,False,0,0,0,120.581,0,0.0,0.0,0,0.2399,120.581
dataset-static,RTEB proxy,0,0,1,,True,True,False,False,0,0,0,118.823,0,0.0,0.0,0,2.262,118.823
dataset-static,RTEB proxy + failure memory,0,0,1,,True,True,False,False,0,0,0,118.823,0,0.0,0.0,0,2.2721,118.823
dataset-static,Ours full,0,0,1,,True,True,False,False,0,0,0,120.581,0,0.0,0.0,0,2.0471,120.581
dataset-static,RPP proxy,1,1,1,,True,True,False,False,0,0,0,121.042,0,0.0,0.0,0,0.072,121.042
dataset-static,RPP proxy + random retry,1,1,1,,True,True,False,False,0,0,0,121.042,0,0.0,0.0,0,0.0732,121.042
dataset-static,RPP proxy + failure memory,1,1,1,,True,True,False,False,0,0,0,121.042,0,0.0,0.0,0,0.0727,121.042
dataset-static,ATR proxy,1,1,1,,True,True,False,False,0,0,0,120.456,0,0.0,0.0,0,0.0733,120.456
dataset-static,ATR proxy + failure memory,1,1,1,,True,True,False,False,0,0,0,120.456,0,0.0,0.0,0,0.0733,120.456
dataset-static,DDP proxy,1,1,1,,True,True,False,False,0,0,0,121.042,0,0.0,0.0,0,0.2576,121.042
dataset-static,DDP proxy + failure memory,1,1,1,,True,True,False,False,0,0,0,121.042,0,0.0,0.0,0,0.2583,121.042
dataset-static,RTEB proxy,1,1,1,,True,True,False,False,0,0,0,120.456,0,0.0,0.0,0,2.1156,120.456
dataset-static,RTEB proxy + failure memory,1,1,1,,True,True,False,False,0,0,0,120.456,0,0.0,0.0,0,2.1214,120.456
dataset-static,Ours full,1,1,1,,True,True,False,False,0,0,0,121.042,0,0.0,0.0,0,1.8423,121.042
dataset-static,RPP proxy,2,2,1,,True,True,False,False,0,0,0,122.527,0,0.0,0.0,0,0.0301,122.527
dataset-static,RPP proxy + random retry,2,2,1,,True,True,False,False,0,0,0,122.527,0,0.0,0.0,0,0.0301,122.527
dataset-static,RPP proxy + failure memory,2,2,1,,True,True,False,False,0,0,0,122.527,0,0.0,0.0,0,0.0302,122.527
dataset-static,ATR proxy,2,2,1,,True,True,False,False,0,0,0,122.527,0,0.0,0.0,0,0.043,122.527
dataset-static,ATR proxy + failure memory,2,2,1,,True,True,False,False,0,0,0,122.527,0,0.0,0.0,0,0.0432,122.527
dataset-static,DDP proxy,2,2,1,,True,True,False,False,0,0,0,122.527,0,0.0,0.0,0,0.2717,122.527
dataset-static,DDP proxy + failure memory,2,2,1,,True,True,False,False,0,0,0,122.527,0,0.0,0.0,0,0.2714,122.527
dataset-static,RTEB proxy,2,2,1,,True,True,False,False,0,0,0,122.527,0,0.0,0.0,0,1.1254,122.527
dataset-static,RTEB proxy + failure memory,2,2,1,,True,True,False,False,0,0,0,122.527,0,0.0,0.0,0,1.1148,122.527
dataset-static,Ours full,2,2,1,,True,True,False,False,0,0,0,122.527,0,0.0,0.0,0,0.9023,122.527
dataset-static,RPP proxy,3,3,1,,True,True,False,False,0,0,0,120.811,0,0.0,0.0,0,0.0355,120.811
dataset-static,RPP proxy + random retry,3,3,1,,True,True,False,False,0,0,0,120.811,0,0.0,0.0,0,0.0351,120.811
dataset-static,RPP proxy + failure memory,3,3,1,,True,True,False,False,0,0,0,120.811,0,0.0,0.0,0,0.0351,120.811
dataset-static,ATR proxy,3,3,1,,True,True,False,False,0,0,0,121.397,0,0.0,0.0,0,0.0408,121.397
dataset-static,ATR proxy + failure memory,3,3,1,,True,True,False,False,0,0,0,121.397,0,0.0,0.0,0,0.0409,121.397
dataset-static,DDP proxy,3,3,1,,True,True,False,False,0,0,0,121.983,0,0.0,0.0,0,0.2061,121.983
dataset-static,DDP proxy + failure memory,3,3,1,,True,True,False,False,0,0,0,121.983,0,0.0,0.0,0,0.209,121.983
dataset-static,RTEB proxy,3,3,1,,True,True,False,False,0,0,0,121.397,0,0.0,0.0,0,1.1391,121.397
dataset-static,RTEB proxy + failure memory,3,3,1,,True,True,False,False,0,0,0,121.397,0,0.0,0.0,0,1.1459,121.397
dataset-static,Ours full,3,3,1,,True,True,False,False,0,0,0,121.983,0,0.0,0.0,0,0.8591,121.983
dataset-static,RPP proxy,4,4,1,,True,True,False,False,0,0,0,120.64,0,0.0,0.0,0,0.0389,120.64
dataset-static,RPP proxy + random retry,4,4,1,,True,True,False,False,0,0,0,120.64,0,0.0,0.0,0,0.0389,120.64
dataset-static,RPP proxy + failure memory,4,4,1,,True,True,False,False,0,0,0,120.64,0,0.0,0.0,0,0.0388,120.64
dataset-static,ATR proxy,4,4,1,,True,True,False,False,0,0,0,121.225,0,0.0,0.0,0,0.0473,121.225
dataset-static,ATR proxy + failure memory,4,4,1,,True,True,False,False,0,0,0,121.225,0,0.0,0.0,0,0.0468,121.225
dataset-static,DDP proxy,4,4,1,,True,True,False,False,0,0,0,120.344,0,0.0,0.0,0,0.1647,120.344
dataset-static,DDP proxy + failure memory,4,4,1,,True,True,False,False,0,0,0,120.344,0,0.0,0.0,0,0.1607,120.344
dataset-static,RTEB proxy,4,4,1,,True,True,False,False,0,0,0,121.225,0,0.0,0.0,0,1.022,121.225
dataset-static,RTEB proxy + failure memory,4,4,1,,True,True,False,False,0,0,0,121.225,0,0.0,0.0,0,1.0177,121.225
dataset-static,Ours full,4,4,1,,True,True,False,False,0,0,0,121.811,0,0.0,0.0,0,0.7608,121.811
dataset-hidden-blockage-easy,RPP proxy,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.0569,220.581
dataset-hidden-blockage-easy,RPP proxy,0,0,2,"(376, 225)",True,False,True,True,1,0,0,120.581,0,0.0,0.0,0,0.0577,225.581
dataset-hidden-blockage-easy,RPP proxy + random retry,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.0553,220.581
dataset-hidden-blockage-easy,RPP proxy + random retry,0,0,2,"(376, 225)",True,False,True,True,1,0,0,120.581,0,0.0,0.0,0,0.056,225.581
dataset-hidden-blockage-easy,RPP proxy + failure memory,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.0553,220.581
dataset-hidden-blockage-easy,RPP proxy + failure memory,0,0,2,"(376, 225)",True,True,False,False,1,0,0,188.581,0,0.0,0.0,0,0.1726,193.581
dataset-hidden-blockage-easy,ATR proxy,0,0,1,"(376, 225)",True,False,True,True,0,0,0,118.823,0,0.0,0.0,0,0.0582,218.823
dataset-hidden-blockage-easy,ATR proxy,0,0,2,"(376, 225)",True,False,True,True,1,0,0,118.823,0,0.0,0.0,0,0.0581,223.823
dataset-hidden-blockage-easy,ATR proxy + failure memory,0,0,1,"(376, 225)",True,False,True,True,0,0,0,118.823,0,0.0,0.0,0,0.0578,218.823
dataset-hidden-blockage-easy,ATR proxy + failure memory,0,0,2,"(376, 225)",True,True,False,False,1,0,0,187.995,0,0.0,0.0,0,0.1901,192.995
dataset-hidden-blockage-easy,DDP proxy,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.2433,220.581
dataset-hidden-blockage-easy,DDP proxy,0,0,2,"(376, 225)",True,False,True,True,1,0,0,120.581,0,0.0,0.0,0,0.2446,225.581
dataset-hidden-blockage-easy,DDP proxy + failure memory,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.2434,220.581
dataset-hidden-blockage-easy,DDP proxy + failure memory,0,0,2,"(376, 225)",True,True,False,False,1,0,0,188.581,0,0.0,0.0,0,0.3684,193.581
dataset-hidden-blockage-easy,RTEB proxy,0,0,1,"(376, 225)",True,False,True,True,0,0,0,118.823,0,0.0,0.0,0,2.2904,218.823
dataset-hidden-blockage-easy,RTEB proxy,0,0,2,"(376, 225)",True,False,True,True,1,0,0,118.823,0,0.0,0.0,0,2.2954,223.823
dataset-hidden-blockage-easy,RTEB proxy + failure memory,0,0,1,"(376, 225)",True,False,True,True,0,0,0,118.823,0,0.0,0.0,0,2.3054,218.823
dataset-hidden-blockage-easy,RTEB proxy + failure memory,0,0,2,"(376, 225)",True,True,False,False,1,0,0,187.995,0,0.0,0.0,0,5.2288,192.995
dataset-hidden-blockage-easy,Ours full,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,2.0577,220.581
dataset-hidden-blockage-easy,Ours full,0,0,2,"(376, 225)",True,True,False,False,1,0,0,188.581,0,0.0,0.0,0,4.8911,193.581
dataset-hidden-blockage-medium,RPP proxy,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.0551,220.581
dataset-hidden-blockage-medium,RPP proxy,0,0,2,"(376, 225)",True,False,True,True,1,0,0,120.581,0,0.0,0.0,0,0.0553,225.581
dataset-hidden-blockage-medium,RPP proxy + random retry,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.0551,220.581
dataset-hidden-blockage-medium,RPP proxy + random retry,0,0,2,"(376, 225)",True,False,True,True,1,0,0,120.581,0,0.0,0.0,0,0.0556,225.581
dataset-hidden-blockage-medium,RPP proxy + failure memory,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.055,220.581
dataset-hidden-blockage-medium,RPP proxy + failure memory,0,0,2,"(376, 225)",True,True,False,False,1,0,0,188.581,0,0.0,0.0,0,0.1759,193.581
dataset-hidden-blockage-medium,ATR proxy,0,0,1,"(376, 225)",True,False,True,True,0,0,0,118.823,0,0.0,0.0,0,0.0589,218.823
dataset-hidden-blockage-medium,ATR proxy,0,0,2,"(376, 225)",True,False,True,True,1,0,0,118.823,0,0.0,0.0,0,0.059,223.823
dataset-hidden-blockage-medium,ATR proxy + failure memory,0,0,1,"(376, 225)",True,False,True,True,0,0,0,118.823,0,0.0,0.0,0,0.0594,218.823
dataset-hidden-blockage-medium,ATR proxy + failure memory,0,0,2,"(376, 225)",True,True,False,False,1,0,0,187.995,0,0.0,0.0,0,0.1851,192.995
dataset-hidden-blockage-medium,DDP proxy,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.2421,220.581
dataset-hidden-blockage-medium,DDP proxy,0,0,2,"(376, 225)",True,False,True,True,1,0,0,120.581,0,0.0,0.0,0,0.244,225.581
dataset-hidden-blockage-medium,DDP proxy + failure memory,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.2429,220.581
dataset-hidden-blockage-medium,DDP proxy + failure memory,0,0,2,"(376, 225)",True,True,False,False,1,0,0,188.581,0,0.0,0.0,0,0.3644,193.581
dataset-hidden-blockage-medium,RTEB proxy,0,0,1,"(376, 225)",True,False,True,True,0,0,0,118.823,0,0.0,0.0,0,2.2973,218.823
dataset-hidden-blockage-medium,RTEB proxy,0,0,2,"(376, 225)",True,False,True,True,1,0,0,118.823,0,0.0,0.0,0,2.2703,223.823
dataset-hidden-blockage-medium,RTEB proxy + failure memory,0,0,1,"(376, 225)",True,False,True,True,0,0,0,118.823,0,0.0,0.0,0,2.2781,218.823
dataset-hidden-blockage-medium,RTEB proxy + failure memory,0,0,2,"(376, 225)",True,True,False,False,1,0,0,187.995,0,0.0,0.0,0,5.1876,192.995
dataset-hidden-blockage-medium,Ours full,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,2.0621,220.581
dataset-hidden-blockage-medium,Ours full,0,0,2,"(376, 225)",True,True,False,False,1,0,0,188.581,0,0.0,0.0,0,4.8838,193.581
dataset-hidden-blockage-hard,RPP proxy,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.0542,220.581
dataset-hidden-blockage-hard,RPP proxy,0,0,2,"(376, 225)",True,False,True,True,1,0,0,120.581,0,0.0,0.0,0,0.0543,225.581
dataset-hidden-blockage-hard,RPP proxy + random retry,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.0542,220.581
dataset-hidden-blockage-hard,RPP proxy + random retry,0,0,2,"(376, 225)",True,False,True,True,1,0,0,120.581,0,0.0,0.0,0,0.0558,225.581
dataset-hidden-blockage-hard,RPP proxy + failure memory,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.055,220.581
dataset-hidden-blockage-hard,RPP proxy + failure memory,0,0,2,"(376, 225)",True,True,False,False,1,0,0,188.581,0,0.0,0.0,0,0.1755,193.581
dataset-hidden-blockage-hard,ATR proxy,0,0,1,"(376, 225)",True,False,True,True,0,0,0,118.823,0,0.0,0.0,0,0.0587,218.823
dataset-hidden-blockage-hard,ATR proxy,0,0,2,"(376, 225)",True,False,True,True,1,0,0,118.823,0,0.0,0.0,0,0.0594,223.823
dataset-hidden-blockage-hard,ATR proxy + failure memory,0,0,1,"(376, 225)",True,False,True,True,0,0,0,118.823,0,0.0,0.0,0,0.0591,218.823
dataset-hidden-blockage-hard,ATR proxy + failure memory,0,0,2,"(376, 225)",True,True,False,False,1,0,0,187.995,0,0.0,0.0,0,0.1837,192.995
dataset-hidden-blockage-hard,DDP proxy,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.2447,220.581
dataset-hidden-blockage-hard,DDP proxy,0,0,2,"(376, 225)",True,False,True,True,1,0,0,120.581,0,0.0,0.0,0,0.24,225.581
dataset-hidden-blockage-hard,DDP proxy + failure memory,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.2397,220.581
dataset-hidden-blockage-hard,DDP proxy + failure memory,0,0,2,"(376, 225)",True,True,False,False,1,0,0,188.581,0,0.0,0.0,0,0.368,193.581
dataset-hidden-blockage-hard,RTEB proxy,0,0,1,"(376, 225)",True,False,True,True,0,0,0,118.823,0,0.0,0.0,0,2.2921,218.823
dataset-hidden-blockage-hard,RTEB proxy,0,0,2,"(376, 225)",True,False,True,True,1,0,0,118.823,0,0.0,0.0,0,2.2714,223.823
dataset-hidden-blockage-hard,RTEB proxy + failure memory,0,0,1,"(376, 225)",True,False,True,True,0,0,0,118.823,0,0.0,0.0,0,2.2816,218.823
dataset-hidden-blockage-hard,RTEB proxy + failure memory,0,0,2,"(376, 225)",True,True,False,False,1,0,0,187.995,0,0.0,0.0,0,4.994,192.995
dataset-hidden-blockage-hard,Ours full,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,2.0336,220.581
dataset-hidden-blockage-hard,Ours full,0,0,2,"(376, 225)",True,True,False,False,1,0,0,188.581,0,0.0,0.0,0,4.7873,193.581
dataset-hidden-blockage-very-hard,RPP proxy,0,0,1,"(376, 225)",True,False,True,True,0,0,0,120.581,0,0.0,0.0,0,0.0541,220.581
dataset-hidden-blockage-very-hard,RPP proxy,0,0,2,"(376, 225)",True,False,True,True,1,0,0,120.581,0,0.0,0.0,0,0.0537,225.581
