TrajectoryType,Strategy,Seed,Mission,Success,Replans,WaitSteps,DecisionWaits,DecisionReroutes,PathLength,PredictionMAE,MeanRiskRadius,TotalCost
turn,Constant velocity memory,1000,0,True,1,4,0,0,109.042,1.2336,1.6,126.042
turn,Constant velocity memory,1000,1,True,3,9,0,0,114.799,1.2564,1.6,156.799
turn,Constant velocity memory,1000,2,True,3,9,0,0,123.627,1.2051,1.6,165.627
turn,Constant velocity memory,1001,0,True,3,9,0,0,123.284,1.4105,1.6,165.284
turn,Constant velocity memory,1001,1,True,1,3,0,0,79.042,1.19,1.6,93.042
turn,Constant velocity memory,1001,2,True,1,4,0,0,81.627,1.2493,1.6,98.627
turn,Constant velocity memory,1002,0,True,2,6,0,0,110.799,1.2291,1.6,138.799
turn,Constant velocity memory,1002,1,True,2,6,0,0,89.527,1.366,1.6,117.527
turn,Constant velocity memory,1002,2,True,2,6,0,0,85.042,1.3389,1.6,113.042
turn,Constant velocity memory,1003,0,True,2,6,0,0,132.314,1.3352,1.6,160.314
turn,Constant velocity memory,1003,1,True,1,5,0,0,93.042,1.3052,1.6,113.042
turn,Constant velocity memory,1003,2,True,4,12,0,0,134.213,1.4055,1.6,190.213
turn,Constant velocity memory,1004,0,True,1,3,0,0,80.213,1.2931,1.6,94.213
turn,Constant velocity memory,1004,1,False,2,6,0,0,38.899,1.358,1.6,306.899
turn,Constant velocity memory,1004,2,True,0,0,0,0,77.912,1.3971,1.6,77.912
turn,Constant velocity memory,1005,0,True,3,9,0,0,108.456,1.3322,1.6,150.456
turn,Constant velocity memory,1005,1,True,2,6,0,0,84.213,1.4236,1.6,112.213
turn,Constant velocity memory,1005,2,True,1,4,0,0,87.042,1.2856,1.6,104.042
turn,Constant velocity memory,1006,0,True,2,7,0,0,118.799,1.3113,1.6,149.799
turn,Constant velocity memory,1006,1,True,5,9,0,0,147.142,1.3083,1.6,199.142
turn,Constant velocity memory,1006,2,True,2,5,0,0,128.314,1.3232,1.6,153.314
turn,Constant velocity memory,1007,0,True,3,9,0,0,110.456,1.2594,1.6,152.456
turn,Constant velocity memory,1007,1,False,5,12,0,0,42.485,1.3386,1.6,343.485
turn,Constant velocity memory,1007,2,False,3,6,0,0,60.899,1.1357,1.6,333.899
turn,Constant velocity memory,1008,0,False,2,4,0,0,26.414,1.4702,1.6,288.414
turn,Constant velocity memory,1008,1,True,0,0,0,0,73.184,1.2323,1.6,73.184
turn,Constant velocity memory,1008,2,False,2,6,0,0,50.657,1.3479,1.6,318.657
turn,Constant velocity memory,1009,0,True,4,13,0,0,97.527,1.3231,1.6,156.527
turn,Constant velocity memory,1009,1,True,2,6,0,0,113.971,1.2851,1.6,141.971
turn,Constant velocity memory,1009,2,True,4,11,0,0,145.142,1.279,1.6,198.142
turn,Constant velocity memory,1010,0,True,1,4,0,0,79.627,1.4513,1.6,96.627
turn,Constant velocity memory,1010,1,True,4,12,0,0,115.87,1.244,1.6,171.87
turn,Constant velocity memory,1010,2,True,4,6,0,0,56.314,1.2888,1.6,94.314
turn,Constant velocity memory,1011,0,True,1,3,0,0,79.042,1.2746,1.6,93.042
turn,Constant velocity memory,1011,1,True,2,5,0,0,138.314,1.3222,1.6,163.314
turn,Constant velocity memory,1011,2,False,1,3,0,0,21.0,1.499,1.6,275.0
turn,Constant velocity memory,1012,0,True,3,9,0,0,139.142,1.2943,1.6,181.142
turn,Constant velocity memory,1012,1,True,2,6,0,0,112.799,1.3007,1.6,140.799
turn,Constant velocity memory,1012,2,True,3,9,0,0,122.314,1.4169,1.6,164.314
turn,Constant velocity memory,1013,0,True,3,9,0,0,125.728,1.3858,1.6,167.728
turn,Constant velocity memory,1013,1,False,3,9,0,0,37.243,1.3708,1.6,319.243
turn,Constant velocity memory,1013,2,True,1,3,0,0,111.669,1.1657,1.6,125.669
turn,Constant velocity memory,1014,0,True,1,4,0,0,83.042,1.3288,1.6,100.042
turn,Constant velocity memory,1014,1,True,2,6,0,0,118.314,1.274,1.6,146.314
turn,Constant velocity memory,1014,2,True,3,9,0,0,115.627,1.3254,1.6,157.627
turn,Constant velocity memory,1015,0,True,3,9,0,0,132.314,1.2739,1.6,174.314
turn,Constant velocity memory,1015,1,True,3,9,0,0,116.314,1.2808,1.6,158.314
turn,Constant velocity memory,1015,2,True,3,9,0,0,108.799,1.3875,1.6,150.799
turn,Constant velocity memory,1016,0,False,5,15,0,0,61.899,1.2427,1.6,371.899
turn,Constant velocity memory,1016,1,False,3,9,0,0,52.899,1.1546,1.6,334.899
turn,Constant velocity memory,1016,2,True,4,12,0,0,134.456,1.2208,1.6,190.456
turn,Constant velocity memory,1017,0,True,5,12,0,0,122.456,1.2864,1.6,183.456
turn,Constant velocity memory,1017,1,True,1,4,0,0,83.042,1.0685,1.6,100.042
turn,Constant velocity memory,1017,2,True,2,6,0,0,107.87,1.272,1.6,135.87
turn,Constant velocity memory,1018,0,True,1,3,0,0,103.042,1.2414,1.6,117.042
turn,Constant velocity memory,1018,1,True,3,9,0,0,140.314,1.3131,1.6,182.314
turn,Constant velocity memory,1018,2,True,2,4,0,0,125.627,1.391,1.6,147.627
turn,Constant velocity memory,1019,0,True,1,3,0,0,103.042,1.236,1.6,117.042
turn,Constant velocity memory,1019,1,True,2,6,0,0,93.527,1.2307,1.6,121.527
turn,Constant velocity memory,1019,2,True,3,6,0,0,93.184,1.361,1.6,126.184
turn,Default uncertainty-aware memory,1000,0,True,1,5,0,0,107.042,1.2046,1.5249,127.042
turn,Default uncertainty-aware memory,1000,1,False,2,4,0,0,21.0,1.3197,1.5264,283.0
turn,Default uncertainty-aware memory,1000,2,True,5,11,0,0,136.456,1.1802,1.5247,194.456
turn,Default uncertainty-aware memory,1001,0,True,4,8,0,0,101.184,1.2293,1.5249,145.184
turn,Default uncertainty-aware memory,1001,1,True,3,10,0,0,103.87,1.2382,1.5249,148.87
turn,Default uncertainty-aware memory,1001,2,False,1,3,0,0,15.0,1.5607,1.5272,269.0
turn,Default uncertainty-aware memory,1002,0,True,2,6,0,0,115.627,1.2877,1.5248,143.627
turn,Default uncertainty-aware memory,1002,1,True,5,12,0,0,104.314,1.2039,1.5248,165.314
turn,Default uncertainty-aware memory,1002,2,False,1,3,0,0,19.0,1.5275,1.5266,273.0
turn,Default uncertainty-aware memory,1003,0,True,3,6,0,0,136.314,1.2527,1.5247,169.314
turn,Default uncertainty-aware memory,1003,1,True,2,5,0,0,109.184,1.1771,1.5249,134.184
turn,Default uncertainty-aware memory,1003,2,True,5,13,0,0,133.971,1.3697,1.5247,197.971
turn,Default uncertainty-aware memory,1004,0,True,2,6,0,0,84.941,1.248,1.525,112.941
turn,Default uncertainty-aware memory,1004,1,True,2,6,0,0,89.728,1.2474,1.5249,117.728
turn,Default uncertainty-aware memory,1004,2,False,2,6,0,0,46.657,1.4342,1.5254,314.657
turn,Default uncertainty-aware memory,1005,0,True,1,3,0,0,56.314,1.2353,1.5253,70.314
turn,Default uncertainty-aware memory,1005,1,True,2,6,0,0,125.284,1.396,1.5248,153.284
turn,Default uncertainty-aware memory,1005,2,False,2,6,0,0,47.657,1.522,1.5253,315.657
turn,Default uncertainty-aware memory,1006,0,True,1,5,0,0,87.042,1.295,1.525,107.042
turn,Default uncertainty-aware memory,1006,1,True,2,6,0,0,135.083,1.3233,1.5248,163.083
turn,Default uncertainty-aware memory,1006,2,False,1,3,0,0,29.0,1.1186,1.5259,283.0
turn,Default uncertainty-aware memory,1007,0,False,6,12,0,0,64.385,1.4005,1.5251,370.385
turn,Default uncertainty-aware memory,1007,1,False,8,11,0,0,24.828,1.2913,1.5261,337.828
turn,Default uncertainty-aware memory,1007,2,True,0,0,0,0,74.841,1.3497,1.5252,74.841
