TrajectoryType,ProcessNoise,BaseRiskRadius,UncertaintyScale,Trials,Successes,SuccessRate,MeanPredictionMAE,MeanRiskRadius,MeanReplans,MeanWaitSteps,MeanTotalCost
turn,0.01,1.3,0.01,15,11,0.7333,1.1882,1.311,2.7333,5.5333,169.5107
turn,0.01,1.3,0.02,15,11,0.7333,1.1887,1.3221,2.8,5.6,170.1154
turn,0.01,1.3,0.05,15,12,0.8,1.1886,1.3543,2.6,6.5333,173.4657
turn,0.01,1.5,0.01,15,11,0.7333,1.1863,1.511,2.4,5.4,172.4145
turn,0.01,1.5,0.02,15,12,0.8,1.1737,1.5218,2.5333,5.8667,165.2678
turn,0.01,1.5,0.05,15,12,0.8,1.1897,1.5543,2.4,6.8667,170.4153
turn,0.01,1.7,0.01,15,13,0.8667,1.1618,1.7108,2.7333,7.3333,164.3667
turn,0.01,1.7,0.02,15,12,0.8,1.1674,1.7216,2.5333,7.1333,177.0401
turn,0.01,1.7,0.05,15,12,0.8,1.1726,1.754,2.3333,7.0667,173.0152
turn,0.03,1.3,0.01,15,11,0.7333,1.2704,1.3127,2.7333,6.3333,178.7773
turn,0.03,1.3,0.02,15,12,0.8,1.2761,1.3253,2.6667,6.2667,170.6837
turn,0.03,1.3,0.05,15,11,0.7333,1.3318,1.3632,2.5333,6.6667,185.5008
turn,0.03,1.5,0.01,15,13,0.8667,1.2775,1.5125,2.5333,6.2667,160.0484
turn,0.03,1.5,0.02,15,12,0.8,1.3068,1.5253,2.2667,5.7333,164.3095
turn,0.03,1.5,0.05,15,11,0.7333,1.3183,1.5632,2.5333,6.1333,179.3465
turn,0.03,1.7,0.01,15,13,0.8667,1.3201,1.7126,2.2,5.8,150.3439
turn,0.03,1.7,0.02,15,12,0.8,1.3174,1.7253,2.1333,5.4,161.1667
turn,0.03,1.7,0.05,15,9,0.6,1.3243,1.7635,2.6,6.0,204.0771
turn,0.08,1.3,0.01,15,11,0.7333,1.4286,1.3149,2.6667,6.0,169.4135
turn,0.08,1.3,0.02,15,12,0.8,1.4385,1.3297,2.4,6.1333,160.3295
turn,0.08,1.3,0.05,15,10,0.6667,1.4307,1.3746,2.0667,5.0,175.3477
turn,0.08,1.5,0.01,15,11,0.7333,1.439,1.5148,2.6,6.4,175.9039
turn,0.08,1.5,0.02,15,11,0.7333,1.4482,1.5298,2.1333,5.5333,172.2152
turn,0.08,1.5,0.05,15,8,0.5333,1.4401,1.575,1.5333,4.3333,194.1135
turn,0.08,1.7,0.01,15,12,0.8,1.4426,1.7149,2.0667,5.8667,159.0077
turn,0.08,1.7,0.02,15,10,0.6667,1.4391,1.7298,1.8667,5.0,178.581
turn,0.08,1.7,0.05,15,8,0.5333,1.4389,1.775,1.5333,4.3333,193.9411
sudden-acceleration,0.01,1.3,0.01,15,13,0.8667,1.1294,1.3108,1.8667,4.9333,149.2714
sudden-acceleration,0.01,1.3,0.02,15,13,0.8667,1.1303,1.3216,1.7333,4.8667,145.0039
sudden-acceleration,0.01,1.3,0.05,15,12,0.8,1.1408,1.3541,1.8667,5.2667,159.3352
sudden-acceleration,0.01,1.5,0.01,15,13,0.8667,1.1319,1.5108,1.7333,5.0667,148.6154
sudden-acceleration,0.01,1.5,0.02,15,12,0.8,1.1377,1.5216,1.6667,4.8667,157.8934
sudden-acceleration,0.01,1.5,0.05,15,10,0.6667,1.1385,1.5545,1.6667,5.1333,182.0401
sudden-acceleration,0.01,1.7,0.01,15,11,0.7333,1.1459,1.7109,1.6667,4.8667,168.4839
sudden-acceleration,0.01,1.7,0.02,15,11,0.7333,1.1489,1.7218,1.6667,5.0,170.2172
sudden-acceleration,0.01,1.7,0.05,15,11,0.7333,1.146,1.7544,1.4,4.5333,164.2219
sudden-acceleration,0.03,1.3,0.01,15,11,0.7333,1.2691,1.3126,2.0,4.9333,163.4697
sudden-acceleration,0.03,1.3,0.02,15,10,0.6667,1.273,1.3253,1.8667,4.5333,171.6716
sudden-acceleration,0.03,1.3,0.05,15,12,0.8,1.2687,1.3629,2.0,5.6667,158.0153
sudden-acceleration,0.03,1.5,0.01,15,10,0.6667,1.2772,1.5126,1.6667,4.4667,176.7869
sudden-acceleration,0.03,1.5,0.02,15,9,0.6,1.2854,1.5254,1.6,4.6667,188.9059
sudden-acceleration,0.03,1.5,0.05,15,11,0.7333,1.2723,1.5631,1.6667,4.9333,169.1781
sudden-acceleration,0.03,1.7,0.01,15,12,0.8,1.2569,1.7126,1.7333,4.8667,153.125
sudden-acceleration,0.03,1.7,0.02,15,12,0.8,1.2648,1.7252,1.6667,4.9333,157.8125
sudden-acceleration,0.03,1.7,0.05,15,12,0.8,1.2678,1.7628,1.8667,5.6,163.0657
sudden-acceleration,0.08,1.3,0.01,15,11,0.7333,1.4318,1.3148,1.7333,4.5333,160.5439
sudden-acceleration,0.08,1.3,0.02,15,11,0.7333,1.452,1.3298,1.7333,4.6667,165.3275
sudden-acceleration,0.08,1.3,0.05,15,10,0.6667,1.4569,1.3745,1.7333,5.1333,183.2867
sudden-acceleration,0.08,1.5,0.01,15,10,0.6667,1.456,1.5149,1.6,4.6667,176.7248
sudden-acceleration,0.08,1.5,0.02,15,9,0.6,1.4573,1.5298,1.6667,4.9333,192.5639
sudden-acceleration,0.08,1.5,0.05,15,10,0.6667,1.4567,1.5745,1.5333,5.0667,178.8239
sudden-acceleration,0.08,1.7,0.01,15,8,0.5333,1.4681,1.7149,1.3333,4.3333,199.3631
sudden-acceleration,0.08,1.7,0.02,15,9,0.6,1.4595,1.7298,1.4667,5.1333,192.543
sudden-acceleration,0.08,1.7,0.05,15,8,0.5333,1.4718,1.7747,1.4,4.6,202.5173
stop-and-go,0.01,1.3,0.01,15,11,0.7333,1.1153,1.3109,2.6667,5.8,174.625
stop-and-go,0.01,1.3,0.02,15,9,0.6,1.119,1.322,2.6667,5.8667,199.3831
stop-and-go,0.01,1.3,0.05,15,10,0.6667,1.1663,1.3563,2.0,5.0,170.6917
stop-and-go,0.01,1.5,0.01,15,8,0.5333,1.1528,1.5111,2.2,5.4,200.1698
stop-and-go,0.01,1.5,0.02,15,9,0.6,1.1559,1.5224,2.0,5.2,185.6849
stop-and-go,0.01,1.5,0.05,15,10,0.6667,1.1695,1.5563,2.0667,5.0,171.042
stop-and-go,0.01,1.7,0.01,15,9,0.6,1.1636,1.7113,1.4667,3.8667,172.9773
stop-and-go,0.01,1.7,0.02,15,10,0.6667,1.1635,1.7226,1.5333,4.2,159.8535
stop-and-go,0.01,1.7,0.05,15,9,0.6,1.1705,1.7567,1.8667,4.8,182.7935
stop-and-go,0.03,1.3,0.01,15,12,0.8,1.2508,1.3125,3.2,6.1333,173.3954
stop-and-go,0.03,1.3,0.02,15,12,0.8,1.2414,1.3251,2.8,5.6667,167.2582
stop-and-go,0.03,1.3,0.05,15,10,0.6667,1.2802,1.3634,2.4,5.3333,186.4507
stop-and-go,0.03,1.5,0.01,15,11,0.7333,1.2649,1.5126,2.4,5.3333,172.5572
stop-and-go,0.03,1.5,0.02,15,11,0.7333,1.2702,1.5252,2.6667,6.2,176.6259
stop-and-go,0.03,1.5,0.05,15,9,0.6,1.2859,1.5638,1.8667,4.5333,186.7336
stop-and-go,0.03,1.7,0.01,15,10,0.6667,1.2728,1.7127,2.3333,5.5333,177.2421
stop-and-go,0.03,1.7,0.02,15,9,0.6,1.2861,1.7255,2.1333,5.0667,189.7699
stop-and-go,0.03,1.7,0.05,15,9,0.6,1.2859,1.7638,1.8667,4.5333,186.8992
stop-and-go,0.08,1.3,0.01,15,12,0.8,1.4098,1.3148,3.1333,6.0667,167.2999
stop-and-go,0.08,1.3,0.02,15,12,0.8,1.409,1.3296,3.2,6.6,170.2993
