TrajectoryType,ProcessNoise,BaseRiskRadius,UncertaintyScale,Seed,Mission,Success,Replans,WaitSteps,DecisionWaits,DecisionReroutes,PathLength,PredictionMAE,MeanRiskRadius,TotalCost
turn,0.01,1.3,0.01,0,0,True,3,6,0,0,122.799,1.1848,1.3106,155.799
turn,0.01,1.3,0.01,0,1,True,2,6,0,0,121.142,1.068,1.3106,149.142
turn,0.01,1.3,0.01,0,2,True,3,9,0,0,111.042,1.0349,1.3106,153.042
turn,0.01,1.3,0.01,1,0,True,1,4,0,0,85.042,1.2686,1.3107,102.042
turn,0.01,1.3,0.01,1,1,True,7,9,0,0,56.899,1.0283,1.3109,118.899
turn,0.01,1.3,0.01,1,2,False,1,3,0,0,21.414,1.4177,1.3118,275.414
turn,0.01,1.3,0.01,2,0,False,1,1,0,0,17.0,1.9491,1.3123,265.0
turn,0.01,1.3,0.01,2,1,False,4,6,0,0,27.485,1.0832,1.3116,305.485
turn,0.01,1.3,0.01,2,2,True,0,0,0,0,73.184,0.9781,1.3108,73.184
turn,0.01,1.3,0.01,3,0,False,3,5,0,0,17.0,1.2611,1.3121,287.0
turn,0.01,1.3,0.01,3,1,True,0,0,0,0,73.184,1.1372,1.3108,73.184
turn,0.01,1.3,0.01,3,2,True,5,7,0,0,55.243,1.0592,1.3109,101.243
turn,0.01,1.3,0.01,4,0,True,3,9,0,0,106.213,1.1018,1.3106,148.213
turn,0.01,1.3,0.01,4,1,True,4,12,0,0,127.971,1.0654,1.3105,183.971
turn,0.01,1.3,0.01,4,2,True,4,6,0,0,113.042,1.1862,1.3106,151.042
turn,0.01,1.3,0.02,0,0,True,4,6,0,0,122.799,1.1865,1.3211,160.799
turn,0.01,1.3,0.02,0,1,True,2,6,0,0,121.142,1.068,1.3211,149.142
turn,0.01,1.3,0.02,0,2,True,3,9,0,0,111.042,1.0349,1.3212,153.042
turn,0.01,1.3,0.02,1,0,True,1,4,0,0,85.042,1.2686,1.3214,102.042
turn,0.01,1.3,0.02,1,1,True,7,10,0,0,56.899,1.027,1.3218,121.899
turn,0.01,1.3,0.02,1,2,False,1,3,0,0,21.414,1.4177,1.3236,275.414
turn,0.01,1.3,0.02,2,0,False,1,1,0,0,17.0,1.9491,1.3247,265.0
turn,0.01,1.3,0.02,2,1,False,4,6,0,0,27.485,1.0832,1.3231,305.485
turn,0.01,1.3,0.02,2,2,True,0,0,0,0,73.184,0.9781,1.3217,73.184
turn,0.01,1.3,0.02,3,0,False,3,5,0,0,17.0,1.2611,1.3242,287.0
turn,0.01,1.3,0.02,3,1,True,0,0,0,0,73.184,1.1372,1.3217,73.184
turn,0.01,1.3,0.02,3,2,True,5,7,0,0,56.314,1.0651,1.3218,102.314
turn,0.01,1.3,0.02,4,0,True,3,9,0,0,106.213,1.1018,1.3212,148.213
turn,0.01,1.3,0.02,4,1,True,4,12,0,0,127.971,1.0654,1.3211,183.971
turn,0.01,1.3,0.02,4,2,True,4,6,0,0,113.042,1.1862,1.3212,151.042
turn,0.01,1.3,0.05,0,0,True,4,6,0,0,123.627,1.1865,1.3528,161.627
turn,0.01,1.3,0.05,0,1,True,4,10,0,0,125.971,1.0684,1.3527,175.971
turn,0.01,1.3,0.05,0,2,True,4,12,0,0,115.87,1.057,1.3529,171.87
turn,0.01,1.3,0.05,1,0,True,1,4,0,0,85.042,1.2686,1.3535,102.042
turn,0.01,1.3,0.05,1,1,True,3,9,0,0,128.314,0.9913,1.3527,170.314
turn,0.01,1.3,0.05,1,2,True,2,6,0,0,117.971,1.2188,1.3528,145.971
turn,0.01,1.3,0.05,2,0,False,1,1,0,0,17.0,1.9491,1.3617,265.0
turn,0.01,1.3,0.05,2,1,False,2,6,0,0,46.142,1.1271,1.3552,314.142
turn,0.01,1.3,0.05,2,2,True,2,6,0,0,88.698,1.0363,1.3534,116.698
turn,0.01,1.3,0.05,3,0,False,3,5,0,0,17.0,1.2611,1.3606,287.0
turn,0.01,1.3,0.05,3,1,True,0,0,0,0,73.184,1.1372,1.3542,73.184
turn,0.01,1.3,0.05,3,2,True,3,9,0,0,112.941,1.1542,1.353,154.941
turn,0.01,1.3,0.05,4,0,True,3,9,0,0,106.213,1.1018,1.353,148.213
turn,0.01,1.3,0.05,4,1,True,3,9,0,0,121.971,1.0856,1.3528,163.971
turn,0.01,1.3,0.05,4,2,True,4,6,0,0,113.042,1.1862,1.353,151.042
turn,0.01,1.5,0.01,0,0,True,4,6,0,0,122.799,1.1865,1.5106,160.799
turn,0.01,1.5,0.01,0,1,True,2,6,0,0,121.971,1.068,1.5106,149.971
turn,0.01,1.5,0.01,0,2,True,3,9,0,0,111.87,1.0349,1.5106,153.87
turn,0.01,1.5,0.01,1,0,True,1,4,0,0,85.042,1.2686,1.5107,102.042
turn,0.01,1.5,0.01,1,1,True,3,9,0,0,128.314,0.9913,1.5105,170.314
turn,0.01,1.5,0.01,1,2,False,1,3,0,0,21.0,1.4177,1.5118,275.0
turn,0.01,1.5,0.01,2,0,False,1,1,0,0,17.0,1.9491,1.5123,265.0
turn,0.01,1.5,0.01,2,1,False,4,6,0,0,27.485,1.0832,1.5116,305.485
turn,0.01,1.5,0.01,2,2,True,0,0,0,0,73.184,0.9781,1.5108,73.184
turn,0.01,1.5,0.01,3,0,False,3,5,0,0,17.0,1.2611,1.5121,287.0
turn,0.01,1.5,0.01,3,1,True,0,0,0,0,73.184,1.1372,1.5108,73.184
turn,0.01,1.5,0.01,3,2,True,3,5,0,0,56.314,1.0651,1.5109,86.314
turn,0.01,1.5,0.01,4,0,True,3,9,0,0,107.042,1.1018,1.5106,149.042
turn,0.01,1.5,0.01,4,1,True,4,12,0,0,127.971,1.0654,1.5105,183.971
turn,0.01,1.5,0.01,4,2,True,4,6,0,0,113.042,1.1862,1.5106,151.042
turn,0.01,1.5,0.02,0,0,True,4,6,0,0,123.627,1.1865,1.5211,161.627
turn,0.01,1.5,0.02,0,1,True,2,6,0,0,121.971,1.068,1.5211,149.971
turn,0.01,1.5,0.02,0,2,True,4,12,0,0,115.87,1.057,1.5211,171.87
turn,0.01,1.5,0.02,1,0,True,1,4,0,0,85.042,1.2686,1.5214,102.042
turn,0.01,1.5,0.02,1,1,True,3,9,0,0,128.314,0.9913,1.5211,170.314
turn,0.01,1.5,0.02,1,2,True,2,6,0,0,117.971,1.2188,1.5211,145.971
turn,0.01,1.5,0.02,2,0,False,1,1,0,0,17.0,1.9491,1.5247,265.0
turn,0.01,1.5,0.02,2,1,False,4,6,0,0,27.485,1.0832,1.5231,305.485
turn,0.01,1.5,0.02,2,2,True,0,1,0,0,73.184,0.9669,1.5217,76.184
turn,0.01,1.5,0.02,3,0,False,3,5,0,0,17.0,1.2611,1.5242,287.0
turn,0.01,1.5,0.02,3,1,True,0,0,0,0,73.184,1.1372,1.5217,73.184
turn,0.01,1.5,0.02,3,2,True,3,5,0,0,56.314,1.0651,1.5218,86.314
turn,0.01,1.5,0.02,4,0,True,3,9,0,0,107.042,1.1018,1.5212,149.042
