TrajectoryType,Strategy,Seed,Mission,Success,Replans,WaitSteps,PathLength,PredictionMAE,MeanRiskRadius,TotalCost
turn,Reactive current occupancy,0,0,False,3,3,30.414,1.3835,1.6,294.414
turn,Reactive current occupancy,0,1,False,1,1,26.0,1.3202,1.6,274.0
turn,Reactive current occupancy,0,2,True,2,2,118.314,1.379,1.6,134.314
turn,Reactive current occupancy,1,0,False,1,1,20.0,1.4037,1.6,268.0
turn,Reactive current occupancy,1,1,False,2,2,30.414,1.4496,1.6,286.414
turn,Reactive current occupancy,1,2,False,1,1,30.0,1.3687,1.6,278.0
turn,Reactive current occupancy,2,0,True,2,2,112.314,1.4038,1.6,128.314
turn,Reactive current occupancy,2,1,False,2,2,29.414,1.4095,1.6,285.414
turn,Reactive current occupancy,2,2,True,1,1,57.485,1.2294,1.6,65.485
turn,Reactive current occupancy,3,0,False,2,2,18.414,1.0747,1.6,274.414
turn,Reactive current occupancy,3,1,False,2,2,21.0,1.5718,1.6,277.0
turn,Reactive current occupancy,3,2,False,4,4,25.414,1.5395,1.6,297.414
turn,Reactive current occupancy,4,0,True,2,2,56.314,1.3977,1.6,72.314
turn,Reactive current occupancy,4,1,False,2,2,26.0,1.504,1.6,282.0
turn,Reactive current occupancy,4,2,True,1,1,113.042,1.4322,1.6,121.042
turn,Reactive current occupancy,5,0,False,3,3,32.414,1.2223,1.6,296.414
turn,Reactive current occupancy,5,1,True,4,4,136.314,1.4001,1.6,168.314
turn,Reactive current occupancy,5,2,False,1,1,25.0,1.1154,1.6,273.0
turn,Reactive current occupancy,6,0,False,1,1,21.0,1.342,1.6,269.0
turn,Reactive current occupancy,6,1,False,2,2,25.0,1.3594,1.6,281.0
turn,Reactive current occupancy,6,2,False,1,1,29.0,1.2881,1.6,277.0
turn,Reactive current occupancy,7,0,False,2,2,23.0,1.2937,1.6,279.0
turn,Reactive current occupancy,7,1,False,1,1,32.0,1.4182,1.6,280.0
turn,Reactive current occupancy,7,2,True,1,1,58.071,1.1925,1.6,66.071
turn,Reactive current occupancy,8,0,True,4,4,115.042,1.3304,1.6,147.042
