Variant,Seed,BarrierX,DeceptiveY,TargetFailed,NoiseCells,RobotInflationRadius,MatchedAnchor,MatchSimilarity,TransferredCells,Executable,UsedTargetFailedPassage,Length
No memory,0,32,14,True,3,1,"(32, 7)",0.9753,0,False,True,44.0
Absolute-cell memory,0,32,14,True,3,1,"(32, 7)",0.9753,45,False,True,44.0
Passage-anchor memory,0,32,14,True,3,1,"(32, 7)",0.9753,145,True,False,49.799
Full method,0,32,14,True,3,1,"(32, 7)",0.9753,189,True,False,50.627
No memory,1,20,8,False,1,1,"(20, 21)",1.0,0,True,True,44.0
Absolute-cell memory,1,20,8,False,1,1,"(20, 21)",1.0,45,True,False,54.77
Passage-anchor memory,1,20,8,False,1,1,"(20, 21)",1.0,145,True,True,44.0
Full method,1,20,8,False,1,1,"(20, 21)",1.0,189,True,False,54.77
No memory,2,28,6,False,2,1,"(28, 20)",1.0,0,True,True,44.0
Absolute-cell memory,2,28,6,False,2,1,"(28, 20)",1.0,45,True,False,55.598
Passage-anchor memory,2,28,6,False,2,1,"(28, 20)",1.0,145,True,True,44.0
Full method,2,28,6,False,2,1,"(28, 20)",1.0,189,True,False,55.598
No memory,3,24,14,True,3,1,"(24, 6)",0.9877,0,False,True,44.0
Absolute-cell memory,3,24,14,True,3,1,"(24, 6)",0.9877,45,False,True,44.0
Passage-anchor memory,3,24,14,True,3,1,"(24, 6)",0.9877,145,True,False,50.627
Full method,3,24,14,True,3,1,"(24, 6)",0.9877,0,False,True,44.0
No memory,4,20,12,True,0,1,"(20, 12)",1.0,0,False,True,44.0
Absolute-cell memory,4,20,12,True,0,1,"(20, 12)",1.0,45,False,True,44.0
Passage-anchor memory,4,20,12,True,0,1,"(20, 12)",1.0,0,False,True,44.0
Full method,4,20,12,True,0,1,"(20, 12)",1.0,189,True,False,50.627
No memory,5,36,10,True,2,1,"(36, 19)",1.0,0,False,True,44.0
Absolute-cell memory,5,36,10,True,2,1,"(36, 19)",1.0,45,False,True,44.0
Passage-anchor memory,5,36,10,True,2,1,"(36, 19)",1.0,0,False,True,44.0
Full method,5,36,10,True,2,1,"(36, 19)",1.0,189,True,False,51.456
No memory,6,16,12,True,1,1,"(16, 20)",1.0,0,False,True,44.0
Absolute-cell memory,6,16,12,True,1,1,"(16, 20)",1.0,45,False,True,44.0
Passage-anchor memory,6,16,12,True,1,1,"(16, 20)",1.0,0,False,True,44.0
Full method,6,16,12,True,1,1,"(16, 20)",1.0,189,True,False,51.213
No memory,7,16,14,True,2,1,"(16, 7)",0.9877,0,False,True,44.0
Absolute-cell memory,7,16,14,True,2,1,"(16, 7)",0.9877,45,False,True,44.0
Passage-anchor memory,7,16,14,True,2,1,"(16, 7)",0.9877,145,True,False,49.799
Full method,7,16,14,True,2,1,"(16, 7)",0.9877,189,True,False,50.385
No memory,8,28,12,True,1,1,"(28, 20)",1.0,0,False,True,44.0
Absolute-cell memory,8,28,12,True,1,1,"(28, 20)",1.0,45,False,True,44.0
Passage-anchor memory,8,28,12,True,1,1,"(28, 20)",1.0,145,True,False,50.627
Full method,8,28,12,True,1,1,"(28, 20)",1.0,189,True,False,50.627
No memory,9,16,6,True,1,1,"(16, 19)",1.0,0,False,True,44.0
Absolute-cell memory,9,16,6,True,1,1,"(16, 19)",1.0,45,False,True,45.657
Passage-anchor memory,9,16,6,True,1,1,"(16, 19)",1.0,145,False,True,44.0
Full method,9,16,6,True,1,1,"(16, 19)",1.0,189,True,False,56.527
No memory,10,20,12,True,2,1,"(20, 21)",1.0,0,False,True,44.0
Absolute-cell memory,10,20,12,True,2,1,"(20, 21)",1.0,45,False,True,44.0
Passage-anchor memory,10,20,12,True,2,1,"(20, 21)",1.0,0,False,True,44.0
Full method,10,20,12,True,2,1,"(20, 21)",1.0,0,False,True,44.0
No memory,11,28,18,True,3,1,"(28, 5)",1.0,0,False,True,44.0
Absolute-cell memory,11,28,18,True,3,1,"(28, 5)",1.0,45,False,True,44.0
Passage-anchor memory,11,28,18,True,3,1,"(28, 5)",1.0,145,True,False,54.77
Full method,11,28,18,True,3,1,"(28, 5)",1.0,189,True,False,54.77
No memory,12,20,14,True,0,1,"(20, 5)",1.0,0,False,True,44.0
Absolute-cell memory,12,20,14,True,0,1,"(20, 5)",1.0,45,False,True,44.0
Passage-anchor memory,12,20,14,True,0,1,"(20, 5)",1.0,145,False,True,44.0
Full method,12,20,14,True,0,1,"(20, 5)",1.0,189,True,False,51.456
No memory,13,28,16,True,2,1,"(28, 6)",1.0,0,False,True,44.0
Absolute-cell memory,13,28,16,True,2,1,"(28, 6)",1.0,45,False,True,44.0
Passage-anchor memory,13,28,16,True,2,1,"(28, 6)",1.0,145,True,False,52.284
Full method,13,28,16,True,2,1,"(28, 6)",1.0,189,True,False,52.284
