Scene,Planner,Success,Length,Clearance,NarrowOK,Time
Scene 1 (easy-w7),A*,True,49.556,0,True,0.0044
Scene 1 (easy-w7),Dijkstra,True,49.556,0,True,0.0079
Scene 1 (easy-w7),RRT,True,56.219,0,True,0.006
Scene 1 (easy-w7),RRT*,True,47.489,0,True,0.0339
Scene 1 (easy-w7),Hybrid-A*,True,50.971,0,True,0.0052
Scene 1 (easy-w7),Ours,True,50.142,1,True,0.0173
Scene 2 (medium-w6),A*,True,49.556,0,True,0.0042
Scene 2 (medium-w6),Dijkstra,True,49.556,0,True,0.0073
Scene 2 (medium-w6),RRT,True,67.171,0,True,0.0076
Scene 2 (medium-w6),RRT*,True,47.419,0,True,0.0321
Scene 2 (medium-w6),Hybrid-A*,True,50.971,0,True,0.0055
Scene 2 (medium-w6),Ours,True,50.728,1,True,0.0173
Scene 3 (hard-w5),A*,True,50.142,0,True,0.0046
Scene 3 (hard-w5),Dijkstra,True,50.142,0,True,0.0073
Scene 3 (hard-w5),RRT,True,56.401,0,True,0.0043
Scene 3 (hard-w5),RRT*,True,48.599,0,True,0.03
Scene 3 (hard-w5),Hybrid-A*,True,50.971,0,True,0.0046
Scene 3 (hard-w5),Ours,True,51.314,1,True,0.0181
Scene 4 (narrow-w4),A*,True,50.728,0,True,0.0053
Scene 4 (narrow-w4),Dijkstra,True,50.728,0,True,0.0072
Scene 4 (narrow-w4),RRT,True,58.612,0,True,0.0056
Scene 4 (narrow-w4),RRT*,True,51.815,0,True,0.0292
Scene 4 (narrow-w4),Hybrid-A*,True,51.314,1,True,0.0038
Scene 4 (narrow-w4),Ours,True,51.899,1,True,0.0191
Scene 5 (wide-easy),A*,True,49.556,4,True,0.0075
Scene 5 (wide-easy),Dijkstra,True,49.556,4,True,0.0102
Scene 5 (wide-easy),RRT,True,64.108,2,True,0.0006
Scene 5 (wide-easy),RRT*,True,46.576,4,True,0.0506
Scene 5 (wide-easy),Hybrid-A*,True,50.971,3,True,0.0171
Scene 5 (wide-easy),Ours,True,49.556,4,True,0.2443
Scene 6 (multi-passage),A*,True,49.556,0,True,0.0056
Scene 6 (multi-passage),Dijkstra,True,49.556,0,True,0.0088
Scene 6 (multi-passage),RRT,True,59.373,0,True,0.0034
Scene 6 (multi-passage),RRT*,True,47.406,0,True,0.0409
Scene 6 (multi-passage),Hybrid-A*,True,50.971,0,True,0.0063
Scene 6 (multi-passage),Ours,True,50.142,1,True,0.0195
