Episode,Scenario,Reward,Steps,Success,Collision,RepeatFailure,CorrectReject,FalseReject,RecoverySuccess
0,repeat_failure,-30.95,5,True,False,False,True,False,False
1,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
2,repeat_failure,1.13,2,True,False,False,True,False,False
3,pedestrian,-1.87,2,False,False,False,False,True,False
4,pedestrian,1.97,1,True,False,False,True,False,False
5,post_collision,9.7225,1,True,False,False,False,False,False
6,entrance_misclassification,1.97,1,True,False,False,True,False,False
7,pedestrian,-8.9276,2,True,False,False,True,False,False
8,pedestrian,-10.6918,2,True,False,False,True,False,False
9,rough_terrain,-31.9111,6,True,False,False,True,False,False
10,post_collision,-1.03,1,False,False,False,False,True,False
11,rough_terrain,-1.03,1,False,False,False,False,True,False
12,rough_terrain,-0.67,2,False,False,False,False,True,False
13,pedestrian,1.97,1,True,False,False,True,False,False
14,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
15,repeat_failure,1.97,1,True,False,False,True,False,False
16,rough_terrain,-1.03,1,False,False,False,False,True,False
17,post_collision,10.33,2,True,False,False,False,False,False
18,pedestrian,-1.03,1,False,False,False,False,True,False
19,entrance_misclassification,-7.0318,4,True,False,False,True,False,False
20,repeat_failure,1.97,1,True,False,False,True,False,False
21,dynamic_obstacle,-1.18,4,False,False,False,False,True,False
22,repeat_failure,2.68,3,True,False,False,True,False,False
23,repeat_failure,-12.1252,2,True,False,False,True,False,False
24,entrance_misclassification,-8.7182,2,True,False,False,True,False,False
25,rough_terrain,-1.03,1,False,False,False,False,True,False
26,entrance_misclassification,2.33,2,True,False,False,True,False,False
27,post_collision,9.6912,1,True,False,False,False,False,False
28,dynamic_obstacle,-45.395,4,True,False,False,True,False,False
29,post_collision,-79.4882,8,True,False,False,True,False,False
30,post_collision,-12.9787,2,True,False,False,True,False,False
31,dynamic_obstacle,-13.6373,3,True,False,False,True,False,False
32,dynamic_obstacle,1.97,1,True,False,False,True,False,False
33,post_collision,1.93,2,False,False,False,False,True,False
