Phase,Scene,Planner,Trials,Successes,SuccessRate,SuccessCI95Low,SuccessCI95High,MeanLengthSuccess,LengthCI95Low,LengthCI95High,MeanTime,TimeCI95Low,TimeCI95High
point,w7,RRT,100,100,1.0,0.963,1.0,58.1307,57.3107,58.9506,0.003698,0.003221,0.004175
point,w7,RRT*,100,100,1.0,0.963,1.0,47.9364,47.7843,48.0884,0.036817,0.035775,0.037859
point,w6,RRT,100,100,1.0,0.963,1.0,58.487,57.7089,59.2651,0.004134,0.003644,0.004624
point,w6,RRT*,100,100,1.0,0.963,1.0,48.1546,48.012,48.2971,0.036493,0.035701,0.037285
point,w5,RRT,100,99,0.99,0.9455,0.9982,58.4479,57.6936,59.2022,0.004348,0.00376,0.004936
point,w5,RRT*,100,99,0.99,0.9455,0.9982,48.4109,48.287,48.5348,0.035595,0.034977,0.036213
point,w4,RRT,100,99,0.99,0.9455,0.9982,59.057,58.3009,59.813,0.004969,0.004389,0.005549
point,w4,RRT*,100,99,0.99,0.9455,0.9982,48.7854,48.6477,48.9231,0.035379,0.034579,0.036179
point,wide,RRT,100,100,1.0,0.963,1.0,57.2134,56.126,58.3009,0.001387,0.001137,0.001637
point,wide,RRT*,100,100,1.0,0.963,1.0,46.8384,46.787,46.8899,0.052908,0.05189,0.053926
point,multi,RRT,100,100,1.0,0.963,1.0,57.922,57.1558,58.6882,0.001358,0.001181,0.001535
point,multi,RRT*,100,100,1.0,0.963,1.0,47.8725,47.7699,47.9751,0.043198,0.042406,0.04399
small,w7,RRT,100,100,1.0,0.963,1.0,57.7603,57.0297,58.4909,0.002958,0.002699,0.003217
small,w7,RRT*,100,100,1.0,0.963,1.0,48.9241,48.8009,49.0473,0.026875,0.026511,0.027239
small,w6,RRT,100,100,1.0,0.963,1.0,58.404,57.5952,59.2128,0.003676,0.003326,0.004026
small,w6,RRT*,100,100,1.0,0.963,1.0,49.4223,49.2578,49.5869,0.028121,0.027135,0.029107
small,w5,RRT,100,99,0.99,0.9455,0.9982,58.8937,58.0832,59.7041,0.00392,0.003534,0.004306
small,w5,RRT*,100,99,0.99,0.9455,0.9982,49.9812,49.7875,50.1749,0.02587,0.02527,0.02647
small,w4,RRT,100,96,0.96,0.9016,0.9843,59.4302,58.6694,60.191,0.004719,0.00427,0.005168
small,w4,RRT*,100,96,0.96,0.9016,0.9843,50.7942,50.5979,50.9904,0.024648,0.023806,0.02549
small,wide,RRT,100,100,1.0,0.963,1.0,57.1223,56.0924,58.1522,0.001315,0.001096,0.001534
small,wide,RRT*,100,100,1.0,0.963,1.0,46.8294,46.7819,46.877,0.044472,0.044033,0.044911
small,multi,RRT,100,100,1.0,0.963,1.0,57.5082,56.9008,58.1156,0.001544,0.001358,0.00173
small,multi,RRT*,100,100,1.0,0.963,1.0,49.0136,48.9001,49.127,0.031713,0.031184,0.032242
body,w7,RRT,100,99,0.99,0.9455,0.9982,58.1231,57.3961,58.85,0.003501,0.003106,0.003896
body,w7,RRT*,100,99,0.99,0.9455,0.9982,50.3071,50.1906,50.4237,0.017785,0.017458,0.018112
body,w6,RRT,100,93,0.93,0.8625,0.9657,58.8521,58.189,59.5153,0.004345,0.003906,0.004784
body,w6,RRT*,100,93,0.93,0.8625,0.9657,51.1972,51.0362,51.3582,0.01643,0.015917,0.016943
body,w5,RRT,100,74,0.74,0.6463,0.816,58.8207,58.1286,59.5128,0.005564,0.005086,0.006042
body,w5,RRT*,100,74,0.74,0.6463,0.816,52.0417,51.8508,52.2326,0.015169,0.01446,0.015878
body,w4,RRT,100,0,0.0,0.0,0.037,0.0,0.0,0.0,0.007998,0.007904,0.008092
body,w4,RRT*,100,0,0.0,0.0,0.037,0.0,0.0,0.0,0.010543,0.010188,0.010898
body,wide,RRT,100,100,1.0,0.963,1.0,57.3586,56.2714,58.4459,0.00122,0.001021,0.001419
body,wide,RRT*,100,100,1.0,0.963,1.0,46.8286,46.7813,46.8759,0.038268,0.037674,0.038862
body,multi,RRT,100,100,1.0,0.963,1.0,58.0376,57.466,58.6092,0.001341,0.001225,0.001457
body,multi,RRT*,100,100,1.0,0.963,1.0,50.3913,50.2777,50.5048,0.020695,0.020334,0.021056
