Phase,Scene,Planner,Seed,Success,Length,Clearance,Time
point,w7,RRT,0,True,56.219,0,0.0061
point,w7,RRT,1,True,63.262,1,0.0031
point,w7,RRT,2,True,54.612,1,0.0026
point,w7,RRT,3,True,64.534,0,0.0025
point,w7,RRT,4,True,58.36,0,0.0038
point,w7,RRT,5,True,61.049,0,0.0034
point,w7,RRT,6,True,52.995,1,0.0004
point,w7,RRT,7,True,53.873,0,0.001
point,w7,RRT,8,True,59.634,1,0.0024
point,w7,RRT,9,True,61.273,0,0.0055
point,w7,RRT,10,True,51.842,1,0.0028
point,w7,RRT,11,True,62.956,0,0.0042
point,w7,RRT,12,True,59.171,0,0.0066
point,w7,RRT,13,True,51.802,1,0.0012
point,w7,RRT,14,True,59.897,0,0.0034
point,w7,RRT,15,True,61.2,1,0.0062
point,w7,RRT,16,True,61.216,1,0.0163
point,w7,RRT,17,True,50.369,0,0.0005
point,w7,RRT,18,True,54.12,0,0.0006
point,w7,RRT,19,True,56.833,0,0.0039
point,w7,RRT,20,True,59.774,0,0.0017
point,w7,RRT,21,True,55.037,0,0.0034
point,w7,RRT,22,True,54.182,0,0.0038
point,w7,RRT,23,True,53.363,0,0.0016
point,w7,RRT,24,True,54.434,1,0.003
point,w7,RRT,25,True,63.95,0,0.007
point,w7,RRT,26,True,59.207,0,0.0042
point,w7,RRT,27,True,54.603,0,0.0031
point,w7,RRT,28,True,56.2,0,0.0011
point,w7,RRT,29,True,54.603,0,0.0019
point,w7,RRT,30,True,56.289,0,0.0028
point,w7,RRT,31,True,57.432,0,0.0044
point,w7,RRT,32,True,59.065,0,0.0077
point,w7,RRT,33,True,59.999,0,0.0066
point,w7,RRT,34,True,54.228,0,0.0015
point,w7,RRT,35,True,50.704,0,0.0015
point,w7,RRT,36,True,55.687,0,0.0027
point,w7,RRT,37,True,59.662,0,0.0044
point,w7,RRT,38,True,52.758,0,0.0005
point,w7,RRT,39,True,57.574,1,0.0054
point,w7,RRT,40,True,58.555,0,0.0039
point,w7,RRT,41,True,60.433,1,0.0032
point,w7,RRT,42,True,54.329,0,0.0036
point,w7,RRT,43,True,55.944,0,0.0022
point,w7,RRT,44,True,53.561,0,0.001
point,w7,RRT,45,True,62.605,0,0.0024
point,w7,RRT,46,True,62.21,0,0.0026
point,w7,RRT,47,True,53.803,0,0.0006
point,w7,RRT,48,True,50.694,0,0.0029
point,w7,RRT,49,True,58.676,0,0.005
point,w7,RRT,50,True,60.884,0,0.0079
point,w7,RRT,51,True,65.775,0,0.0016
point,w7,RRT,52,True,60.272,0,0.0026
point,w7,RRT,53,True,55.57,0,0.0007
point,w7,RRT,54,True,52.352,0,0.0061
point,w7,RRT,55,True,61.505,0,0.0028
point,w7,RRT,56,True,56.137,0,0.0015
point,w7,RRT,57,True,58.884,0,0.0016
point,w7,RRT,58,True,57.402,0,0.0009
point,w7,RRT,59,True,56.219,0,0.0025
point,w7,RRT,60,True,62.946,0,0.0037
point,w7,RRT,61,True,65.418,0,0.0058
point,w7,RRT,62,True,60.367,0,0.0035
point,w7,RRT,63,True,59.45,0,0.0047
point,w7,RRT,64,True,62.766,0,0.0056
point,w7,RRT,65,True,56.782,0,0.0015
point,w7,RRT,66,True,57.605,0,0.0051
point,w7,RRT,67,True,54.797,0,0.002
point,w7,RRT,68,True,62.424,0,0.0073
point,w7,RRT,69,True,58.36,0,0.0064
point,w7,RRT,70,True,58.799,0,0.0069
point,w7,RRT,71,True,63.344,0,0.0042
point,w7,RRT,72,True,69.369,0,0.0037
point,w7,RRT,73,True,59.767,0,0.0038
point,w7,RRT,74,True,57.687,0,0.0041
point,w7,RRT,75,True,50.22,0,0.001
point,w7,RRT,76,True,50.127,0,0.0011
point,w7,RRT,77,True,60.435,0,0.0058
point,w7,RRT,78,True,61.596,0,0.003
point,w7,RRT,79,True,55.543,1,0.0057
point,w7,RRT,80,True,69.117,0,0.0066
point,w7,RRT,81,True,65.27,0,0.0033
point,w7,RRT,82,True,65.784,0,0.0049
point,w7,RRT,83,True,57.23,0,0.0111
point,w7,RRT,84,True,57.84,0,0.0032
point,w7,RRT,85,True,61.523,0,0.0038
point,w7,RRT,86,True,53.514,0,0.0037
point,w7,RRT,87,True,51.485,0,0.0004
point,w7,RRT,88,True,58.108,0,0.0025
point,w7,RRT,89,True,61.964,0,0.0023
point,w7,RRT,90,True,54.946,0,0.0037
point,w7,RRT,91,True,59.33,0,0.0057
point,w7,RRT,92,True,53.731,0,0.002
point,w7,RRT,93,True,56.352,0,0.0024
point,w7,RRT,94,True,62.902,0,0.0089
point,w7,RRT,95,True,56.627,1,0.0029
point,w7,RRT,96,True,61.542,0,0.0038
point,w7,RRT,97,True,60.714,0,0.0052
point,w7,RRT,98,True,57.327,0,0.004
point,w7,RRT,99,True,60.182,0,0.0041
point,w7,RRT*,0,True,48.533,0,0.0257
point,w7,RRT*,1,True,49.136,0,0.0335
point,w7,RRT*,2,True,48.323,1,0.0356
point,w7,RRT*,3,True,47.496,0,0.0341
point,w7,RRT*,4,True,47.789,0,0.0339
point,w7,RRT*,5,True,48.458,0,0.0318
point,w7,RRT*,6,True,47.882,0,0.0364
point,w7,RRT*,7,True,47.15,0,0.0346
point,w7,RRT*,8,True,47.925,1,0.0319
point,w7,RRT*,9,True,47.748,0,0.0314
point,w7,RRT*,10,True,48.126,0,0.0365
point,w7,RRT*,11,True,47.617,0,0.034
point,w7,RRT*,12,True,48.777,0,0.0336
point,w7,RRT*,13,True,47.217,0,0.0378
point,w7,RRT*,14,True,47.311,0,0.037
point,w7,RRT*,15,True,48.278,0,0.0384
point,w7,RRT*,16,True,47.437,0,0.0323
point,w7,RRT*,17,True,47.106,0,0.0347
point,w7,RRT*,18,True,47.603,0,0.0378
point,w7,RRT*,19,True,47.357,0,0.0391
point,w7,RRT*,20,True,48.048,0,0.0313
point,w7,RRT*,21,True,47.412,0,0.0341
point,w7,RRT*,22,True,47.168,0,0.0381
point,w7,RRT*,23,True,47.969,0,0.0363
point,w7,RRT*,24,True,48.39,0,0.0373
point,w7,RRT*,25,True,50.029,0,0.0348
point,w7,RRT*,26,True,47.884,0,0.0391
point,w7,RRT*,27,True,47.088,0,0.0393
