Variant,Seed,BarrierX,DeceptiveY,NoiseCells,MatchedAnchor,MatchSimilarity,TransferredCells,Executable,UsedTargetFailedPassage,Length
No transferred memory,0,33,12,0,"(33, 12)",1.0,0,False,True,44.0
Absolute-cell transfer,0,33,12,0,"(33, 12)",1.0,45,False,True,44.0
Semantic-anchor transfer,0,33,12,0,"(33, 12)",1.0,45,True,False,48.971
No transferred memory,1,16,12,1,"(16, 12)",0.9877,0,False,True,44.0
Absolute-cell transfer,1,16,12,1,"(16, 12)",0.9877,45,False,True,44.0
Semantic-anchor transfer,1,16,12,1,"(16, 12)",0.9877,45,True,False,48.971
No transferred memory,2,15,15,1,"(15, 15)",0.9877,0,False,True,44.0
Absolute-cell transfer,2,15,15,1,"(15, 15)",0.9877,45,False,True,44.0
Semantic-anchor transfer,2,15,15,1,"(15, 15)",0.9877,45,True,False,49.799
No transferred memory,3,15,12,2,"(15, 12)",0.9753,0,False,True,44.0
Absolute-cell transfer,3,15,12,2,"(15, 12)",0.9753,45,False,True,44.0
Semantic-anchor transfer,3,15,12,2,"(15, 12)",0.9753,45,True,False,50.627
No transferred memory,4,34,12,1,"(34, 12)",0.9877,0,False,True,44.0
Absolute-cell transfer,4,34,12,1,"(34, 12)",0.9877,45,False,True,44.0
Semantic-anchor transfer,4,34,12,1,"(34, 12)",0.9877,45,True,False,50.627
No transferred memory,5,16,12,1,"(16, 12)",0.9877,0,False,True,44.0
Absolute-cell transfer,5,16,12,1,"(16, 12)",0.9877,45,False,True,44.0
Semantic-anchor transfer,5,16,12,1,"(16, 12)",0.9877,45,True,False,49.799
No transferred memory,6,34,15,1,"(34, 15)",0.9877,0,False,True,44.0
Absolute-cell transfer,6,34,15,1,"(34, 15)",0.9877,45,False,True,44.0
Semantic-anchor transfer,6,34,15,1,"(34, 15)",0.9877,45,True,False,51.456
No transferred memory,7,16,9,1,"(16, 9)",0.9877,0,False,True,44.0
Absolute-cell transfer,7,16,9,1,"(16, 9)",0.9877,45,False,True,44.828
Semantic-anchor transfer,7,16,9,1,"(16, 9)",0.9877,45,True,False,52.284
No transferred memory,8,16,15,0,"(16, 15)",1.0,0,False,True,44.0
Absolute-cell transfer,8,16,15,0,"(16, 15)",1.0,45,False,True,44.0
Semantic-anchor transfer,8,16,15,0,"(16, 15)",1.0,45,True,False,50.627
No transferred memory,9,33,12,0,"(33, 12)",1.0,0,False,True,44.0
Absolute-cell transfer,9,33,12,0,"(33, 12)",1.0,45,False,True,44.0
Semantic-anchor transfer,9,33,12,0,"(33, 12)",1.0,45,True,False,50.627
No transferred memory,10,15,12,0,"(15, 12)",1.0,0,False,True,44.0
Absolute-cell transfer,10,15,12,0,"(15, 12)",1.0,45,False,True,44.0
Semantic-anchor transfer,10,15,12,0,"(15, 12)",1.0,45,True,False,50.627
No transferred memory,11,16,12,2,"(16, 12)",0.9753,0,False,True,44.0
Absolute-cell transfer,11,16,12,2,"(16, 12)",0.9753,45,False,True,44.0
Semantic-anchor transfer,11,16,12,2,"(16, 12)",0.9753,45,True,False,50.627
No transferred memory,12,33,15,1,"(33, 15)",0.9877,0,False,True,44.0
