Scene,Planner,Success,Length,Clearance,NarrowOK,Time
Scene 1 (easy-w7),A*,True,50.142,1,True,0.0032
Scene 1 (easy-w7),Dijkstra,True,50.142,1,True,0.005
Scene 1 (easy-w7),RRT,True,54.947,1,True,0.0028
Scene 1 (easy-w7),RRT*,True,49.29,1,True,0.0251
Scene 1 (easy-w7),Hybrid-A*,True,50.971,0,True,0.0034
Scene 1 (easy-w7),Ours,True,52.485,2,True,0.0177
Scene 2 (medium-w6),A*,True,50.728,1,True,0.0034
Scene 2 (medium-w6),Dijkstra,True,50.728,1,True,0.0049
Scene 2 (medium-w6),RRT,True,62.372,0,True,0.0028
Scene 2 (medium-w6),RRT*,True,49.995,1,True,0.0237
Scene 2 (medium-w6),Hybrid-A*,True,51.314,1,True,0.0029
Scene 2 (medium-w6),Ours,True,53.071,2,True,0.0169
Scene 3 (hard-w5),A*,True,51.314,1,True,0.0037
Scene 3 (hard-w5),Dijkstra,True,51.314,1,True,0.0048
Scene 3 (hard-w5),RRT,True,58.749,1,True,0.0036
Scene 3 (hard-w5),RRT*,True,51.656,0,True,0.0223
Scene 3 (hard-w5),Hybrid-A*,True,51.314,1,True,0.0028
Scene 3 (hard-w5),Ours,True,53.657,2,True,0.0167
Scene 4 (narrow-w4),A*,True,51.899,1,True,0.0037
Scene 4 (narrow-w4),Dijkstra,True,51.899,1,True,0.0051
Scene 4 (narrow-w4),RRT,True,55.058,1,True,0.0037
Scene 4 (narrow-w4),RRT*,False,0.0,0.0,False,0.0129
Scene 4 (narrow-w4),Hybrid-A*,True,51.314,1,True,0.0027
Scene 4 (narrow-w4),Ours,True,51.899,1,True,0.0195
Scene 5 (wide-easy),A*,True,49.556,4,True,0.0073
Scene 5 (wide-easy),Dijkstra,True,49.556,4,True,0.0088
Scene 5 (wide-easy),RRT,True,55.876,4,True,0.0006
Scene 5 (wide-easy),RRT*,True,46.725,4,True,0.0436
Scene 5 (wide-easy),Hybrid-A*,True,50.971,3,True,0.0157
Scene 5 (wide-easy),Ours,True,49.556,4,True,0.2406
Scene 6 (multi-passage),A*,True,50.142,1,True,0.0035
Scene 6 (multi-passage),Dijkstra,True,50.142,1,True,0.0061
Scene 6 (multi-passage),RRT,True,57.01,1,True,0.0012
Scene 6 (multi-passage),RRT*,True,48.89,1,True,0.0302
Scene 6 (multi-passage),Hybrid-A*,True,50.971,1,True,0.0041
Scene 6 (multi-passage),Ours,True,51.899,2,True,0.0167
