TrajectoryType,Strategy,Trials,Successes,SuccessRate,SuccessCI95Low,SuccessCI95High,CollisionRate,MeanCollisionCount,MeanReplans,MeanWaitSteps,MeanTimeSteps,MeanPathLength,MeanPredictionMAE,MeanExpandedStates,MeanGeneratedStates,MeanPlanningTime,MaxPlanningTime,MeanMinDynamicClearance,MeanTotalCost
stop-and-go,Space-Time CV + dynamic memory,5,5,1.0,0.5655,1.0,0.0,0.0,18.4,0.0,72.0,80.5326,1.2861,58504.0,155918.4,0.050985,0.335698,10.353,117.3326
stop-and-go,Space-Time CV no dynamic memory,5,1,0.2,0.0362,0.6245,0.8,0.8,9.8,0.2,35.8,36.097,1.3064,695.6,4216.2,0.001141,0.006405,0.5586,200.297
stop-and-go,Space-Time calibrated Kalman + dynamic memory,5,5,1.0,0.5655,1.0,0.0,0.0,19.4,0.2,75.8,85.127,1.1671,400466.2,700271.8,0.328662,0.974288,4.8342,124.527
stop-and-go,Space-Time default Kalman + dynamic memory,5,2,0.4,0.1176,0.7693,0.6,0.6,11.2,0.0,41.4,44.2168,1.2965,156295.0,275852.6,0.233339,0.858797,1.4452,174.6168
stop-and-go,Space-Time no prediction/no memory,5,0,0.0,0.0,0.4345,1.0,1.0,8.2,0.0,29.0,29.0,1.3169,313.8,2298.4,0.000665,0.001318,0.1199,225.4
sudden-acceleration,Space-Time CV + dynamic memory,5,5,1.0,0.5655,1.0,0.0,0.0,20.2,0.0,78.8,82.5278,1.311,108916.0,197963.0,0.080483,0.622134,7.9504,122.9278
sudden-acceleration,Space-Time CV no dynamic memory,5,2,0.4,0.1176,0.7693,0.6,0.6,10.8,1.4,39.4,38.3314,1.3236,504.4,3422.2,0.000853,0.00335,0.7982,172.1314
sudden-acceleration,Space-Time calibrated Kalman + dynamic memory,5,5,1.0,0.5655,1.0,0.0,0.0,17.4,0.2,66.6,74.27,1.161,209513.4,370427.4,0.176787,0.861883,4.584,109.67
sudden-acceleration,Space-Time default Kalman + dynamic memory,5,4,0.8,0.3755,0.9638,0.2,0.2,14.4,0.2,54.8,59.5706,1.2905,156279.0,282498.8,0.162626,0.928558,1.4189,124.9706
sudden-acceleration,Space-Time no prediction/no memory,5,0,0.0,0.0,0.4345,1.0,1.0,7.6,0.0,26.4,26.4,1.3303,300.4,2195.2,0.000731,0.00145,0.1777,221.6
turn,Space-Time CV + dynamic memory,5,4,0.8,0.3755,0.9638,0.2,0.2,17.6,0.0,68.0,76.3672,1.3245,67302.4,160967.2,0.061765,0.330991,8.7106,147.5672
turn,Space-Time CV no dynamic memory,5,2,0.4,0.1176,0.7693,0.6,0.6,11.8,1.6,40.6,39.3314,1.2664,835.0,5019.2,0.001138,0.013312,0.6981,175.7314
turn,Space-Time calibrated Kalman + dynamic memory,5,4,0.8,0.3755,0.9638,0.2,0.2,16.4,0.2,62.6,70.3528,1.0932,192208.6,346385.0,0.219637,0.779107,5.7215,139.7528
turn,Space-Time default Kalman + dynamic memory,5,2,0.4,0.1176,0.7693,0.6,0.6,10.8,0.0,38.2,40.6024,1.2282,141872.4,256968.8,0.257616,1.067493,0.8144,170.2024
turn,Space-Time no prediction/no memory,5,0,0.0,0.0,0.4345,1.0,1.0,7.4,0.0,27.0,27.0,1.3363,293.8,2148.0,0.000665,0.001238,0.2182,221.8
