TrajectoryType,Strategy,Seed,Mission,Success,Collision,CollisionCount,Replans,WaitSteps,TimeSteps,PathLength,PredictionMAE,ExpandedStates,GeneratedStates,MeanPlanningTime,MaxPlanningTime,MinDynamicClearance,TotalCost
turn,Space-Time no prediction/no memory,1000,0,False,True,1,9,0,33,33.0,1.3606,333,2444,0.000591,0.001008,0.0622,231.0
turn,Space-Time no prediction/no memory,1001,0,False,True,1,7,0,25,25.0,1.1792,287,2092,0.000635,0.000856,0.2462,219.0
turn,Space-Time no prediction/no memory,1002,0,False,True,1,8,0,28,28.0,1.3227,312,2280,0.000718,0.001238,0.2831,224.0
turn,Space-Time no prediction/no memory,1003,0,False,True,1,8,0,30,30.0,1.3484,312,2280,0.000665,0.000994,0.3062,226.0
turn,Space-Time no prediction/no memory,1004,0,False,True,1,5,0,19,19.0,1.4704,225,1644,0.000714,0.001025,0.1931,209.0
turn,Space-Time CV no dynamic memory,1000,0,True,False,0,17,4,59,55.0,1.2577,635,4392,0.000687,0.002028,1.4633,101.0
turn,Space-Time CV no dynamic memory,1001,0,False,True,1,7,0,25,25.0,1.1792,287,2092,0.000735,0.00108,0.2462,219.0
turn,Space-Time CV no dynamic memory,1002,0,False,True,1,8,4,31,27.0,1.3053,570,3722,0.001246,0.00228,-0.0307,235.0
turn,Space-Time CV no dynamic memory,1003,0,False,True,1,11,0,33,33.0,1.3297,530,3562,0.000783,0.003038,0.241,235.0
turn,Space-Time CV no dynamic memory,1004,0,True,False,0,16,0,55,56.657,1.2603,2153,11328,0.002239,0.013312,1.5708,88.657
turn,Space-Time CV + dynamic memory,1000,0,False,True,1,9,0,32,34.071,1.365,55099,105280,0.090807,0.245416,0.282,232.071
turn,Space-Time CV + dynamic memory,1001,0,True,False,0,17,0,67,80.255,1.3336,57280,154355,0.054368,0.330991,9.6928,114.255
turn,Space-Time CV + dynamic memory,1002,0,True,False,0,18,0,70,81.184,1.3503,51849,139909,0.046874,0.313314,11.5277,117.184
turn,Space-Time CV + dynamic memory,1003,0,True,False,0,26,0,101,105.971,1.3023,123036,275178,0.072628,0.2817,10.6343,157.971
turn,Space-Time CV + dynamic memory,1004,0,True,False,0,18,0,70,80.355,1.2712,49248,130114,0.04415,0.243468,11.4161,116.355
turn,Space-Time default Kalman + dynamic memory,1000,0,False,True,1,9,0,32,32.828,1.1401,197086,362555,0.361402,1.067493,0.282,230.828
turn,Space-Time default Kalman + dynamic memory,1001,0,False,True,1,8,0,25,28.314,1.4211,148392,272595,0.311537,0.64753,0.1443,224.314
turn,Space-Time default Kalman + dynamic memory,1002,0,True,False,0,15,0,53,57.142,1.2305,151967,269144,0.153348,0.607801,1.5756,87.142
turn,Space-Time default Kalman + dynamic memory,1003,0,False,True,1,8,0,28,29.243,1.0725,173163,296255,0.408935,0.890642,0.304,225.243
turn,Space-Time default Kalman + dynamic memory,1004,0,True,False,0,14,0,53,55.485,1.2767,38754,84295,0.052859,0.293447,1.7662,83.485
turn,Space-Time calibrated Kalman + dynamic memory,1000,0,True,False,0,15,0,55,59.142,1.0739,125148,252202,0.155653,0.443509,1.2367,89.142
turn,Space-Time calibrated Kalman + dynamic memory,1001,0,True,False,0,20,0,79,88.941,1.1251,206085,387604,0.203752,0.658986,8.3534,128.941
turn,Space-Time calibrated Kalman + dynamic memory,1002,0,True,False,0,19,0,76,83.87,1.0923,296501,513979,0.281851,0.779107,8.3983,121.87
turn,Space-Time calibrated Kalman + dynamic memory,1003,0,False,True,1,10,1,31,33.314,0.9905,149288,256331,0.264452,0.763693,-0.5209,236.314
turn,Space-Time calibrated Kalman + dynamic memory,1004,0,True,False,0,18,0,72,86.497,1.1841,184021,321809,0.192479,0.764123,11.1398,122.497
sudden-acceleration,Space-Time no prediction/no memory,1000,0,False,True,1,8,0,28,28.0,1.3899,312,2280,0.000697,0.001055,0.0,224.0
sudden-acceleration,Space-Time no prediction/no memory,1001,0,False,True,1,6,0,20,20.0,1.2033,258,1880,0.000704,0.001004,0.3931,212.0
sudden-acceleration,Space-Time no prediction/no memory,1002,0,False,True,1,8,0,28,28.0,1.4759,312,2280,0.000749,0.00145,0.0,224.0
sudden-acceleration,Space-Time no prediction/no memory,1003,0,False,True,1,7,0,24,24.0,1.3451,287,2092,0.00077,0.00092,0.0,218.0
sudden-acceleration,Space-Time no prediction/no memory,1004,0,False,True,1,9,0,32,32.0,1.2371,333,2444,0.000733,0.001181,0.4955,230.0
sudden-acceleration,Space-Time CV no dynamic memory,1000,0,True,False,0,14,3,56,54.657,1.3778,852,5327,0.00109,0.002453,2.5859,91.657
sudden-acceleration,Space-Time CV no dynamic memory,1001,0,True,False,0,15,3,56,53.0,1.2092,643,4323,0.000778,0.00335,1.0,92.0
sudden-acceleration,Space-Time CV no dynamic memory,1002,0,False,True,1,8,0,28,28.0,1.4759,312,2268,0.000753,0.001217,0.0,224.0
sudden-acceleration,Space-Time CV no dynamic memory,1003,0,False,True,1,8,1,25,24.0,1.318,350,2569,0.000881,0.001275,0.3987,223.0
sudden-acceleration,Space-Time CV no dynamic memory,1004,0,False,True,1,9,0,32,32.0,1.2371,365,2624,0.000764,0.001083,0.0062,230.0
sudden-acceleration,Space-Time CV + dynamic memory,1000,0,True,False,0,14,0,53,55.485,1.4108,31280,50557,0.033172,0.184766,1.8537,83.485
sudden-acceleration,Space-Time CV + dynamic memory,1001,0,True,False,0,21,0,83,83.828,1.2052,98794,187813,0.07822,0.512131,9.0055,125.828
sudden-acceleration,Space-Time CV + dynamic memory,1002,0,True,False,0,27,0,106,112.213,1.309,170599,314867,0.101645,0.622134,10.0643,166.213
sudden-acceleration,Space-Time CV + dynamic memory,1003,0,True,False,0,23,0,91,96.799,1.3451,154760,264991,0.107031,0.488482,13.0171,142.799
sudden-acceleration,Space-Time CV + dynamic memory,1004,0,True,False,0,16,0,61,64.314,1.2851,89147,171587,0.082349,0.254203,5.8113,96.314
