TrajectoryType,Strategy,Seed,Mission,Success,Collision,CollisionCount,Replans,WaitSteps,TimeSteps,PathLength,PredictionMAE,ExpandedStates,GeneratedStates,MeanPlanningTime,MaxPlanningTime,MinDynamicClearance,TotalCost
turn,Space-Time CV,0,0,True,False,0,18,0,70,79.527,1.4536,82551,202204,0.068208,0.305466,13.3651,115.527
turn,Space-Time CV,0,1,True,False,0,28,0,109,113.971,1.324,126448,281520,0.062668,0.234847,11.4404,169.971
turn,Space-Time CV,0,2,True,False,0,19,0,75,84.941,1.3211,61837,154010,0.050624,0.198305,9.7759,122.941
turn,Space-Time CV,1,0,True,False,0,20,0,78,88.355,1.3396,47739,123848,0.035312,0.169116,11.2254,128.355
turn,Space-Time CV,1,1,True,False,0,18,0,71,81.77,1.3168,55721,148892,0.049049,0.315168,10.9036,117.77
turn,Space-Time CV,1,2,True,False,0,19,0,76,87.184,1.3853,72599,182284,0.05517,0.233008,10.6108,125.184
turn,Space-Time CV,2,0,True,False,0,22,0,86,90.556,1.317,82152,181281,0.056157,0.334721,13.1664,134.556
turn,Space-Time CV,2,1,True,False,0,19,0,74,82.698,1.3013,71130,183681,0.055759,0.250744,10.1604,120.698
turn,Space-Time CV,2,2,True,False,0,20,0,79,88.941,1.3907,113240,245494,0.085277,0.45181,10.315,128.941
turn,Space-Time CV,3,0,True,False,0,17,0,68,78.355,1.3261,44013,120132,0.039598,0.232103,11.5879,112.355
turn,Space-Time CV,3,1,True,False,0,18,0,69,78.113,1.3268,53058,130600,0.044372,0.247535,11.2307,114.113
turn,Space-Time CV,3,2,True,False,0,19,0,75,85.77,1.3647,84803,197959,0.06405,0.248487,7.8234,123.77
turn,Space-Time CV,4,0,True,False,0,25,0,97,102.799,1.3297,73700,179352,0.042834,0.27025,9.6528,152.799
turn,Space-Time CV,4,1,True,False,0,21,0,81,93.426,1.4343,105180,233997,0.076001,0.275858,5.5581,135.426
turn,Space-Time CV,4,2,True,False,0,26,0,101,104.314,1.4121,190638,426465,0.110442,0.562575,19.9765,156.314
turn,Space-Time CV,5,0,True,False,0,24,1,94,96.314,1.348,181742,355423,0.111573,0.465953,10.7462,147.314
turn,Space-Time CV,5,1,True,False,0,19,0,76,85.527,1.2091,55088,142932,0.041902,0.24028,9.0439,123.527
turn,Space-Time CV,5,2,True,False,0,18,0,70,77.87,1.4312,73778,165523,0.062589,0.348573,11.6287,113.87
turn,Space-Time CV,6,0,True,False,0,15,1,56,58.314,1.2621,36239,67868,0.031814,0.147127,1.8506,91.314
turn,Space-Time CV,6,1,True,False,0,21,0,81,92.598,1.3135,88701,199965,0.063354,0.409009,9.7189,134.598
turn,Space-Time CV,6,2,True,False,0,20,0,80,87.87,1.4062,98463,245564,0.075562,0.326881,5.8434,127.87
turn,Space-Time CV,7,0,True,False,0,19,0,76,84.698,1.4081,68730,172703,0.052634,0.229455,11.7514,122.698
turn,Space-Time CV,7,1,True,False,0,20,0,77,89.426,1.2402,71238,174393,0.050682,0.25751,9.722,129.426
