ParameterIndex,ProcessNoise,BaseRiskRadius,UncertaintyScale,MaxRiskRadius,Trials,Successes,SuccessRate,SuccessCI95Low,SuccessCI95High,CollisionRate,MeanCollisionCount,MeanReplans,MeanWaitSteps,MeanTimeSteps,MeanPathLength,MeanPredictionMAE,MeanExpandedStates,MeanGeneratedStates,MeanPlanningTime,MaxPlanningTime,MeanMinDynamicClearance,MeanTotalCost
0,0.01,1.5,0.02,2.4,6,4,0.6667,0.3,0.9032,0.3333,0.3333,14.6667,0.3333,55.6667,59.2685,1.2282,167630.6667,320654.1667,0.176255,0.847546,4.513,149.6018
1,0.01,1.5,0.02,3.0,6,3,0.5,0.1876,0.8124,0.5,0.5,13.1667,0.5,49.6667,52.8257,1.2411,155427.1667,294947.1667,0.211725,0.95615,3.4376,170.659
2,0.01,1.5,0.05,2.4,6,4,0.6667,0.3,0.9032,0.3333,0.3333,14.0,0.0,53.0,57.4875,1.2397,171508.5,330294.0,0.22313,1.021272,2.9965,145.4875
3,0.01,1.5,0.05,3.0,6,5,0.8333,0.4365,0.9699,0.1667,0.1667,16.3333,0.0,62.6667,67.6372,1.1956,223346.8333,408338.1667,0.234801,1.079962,4.6521,130.3038
4,0.01,1.8,0.02,2.4,6,6,1.0,0.6097,1.0,0.0,0.0,16.6667,0.3333,64.0,68.9135,1.1916,189970.0,366148.5,0.182778,0.934296,3.9269,103.2468
5,0.01,1.8,0.02,3.0,6,6,1.0,0.6097,1.0,0.0,0.0,16.3333,0.3333,63.0,68.8798,1.1893,184258.1667,355402.1667,0.181937,0.898816,3.945,102.5465
6,0.01,1.8,0.05,2.4,6,5,0.8333,0.4365,0.9699,0.1667,0.1667,15.0,0.6667,58.0,62.3038,1.2294,202678.3333,377260.6667,0.251915,1.54103,3.4406,124.3038
7,0.01,1.8,0.05,3.0,6,6,1.0,0.6097,1.0,0.0,0.0,17.1667,0.3333,66.8333,72.3678,1.187,254359.3333,468408.5,0.255039,1.146084,4.4122,107.7012
8,0.03,1.5,0.02,2.4,6,2,0.3333,0.0968,0.7,0.6667,0.6667,11.5,0.1667,41.6667,45.7802,1.3553,135134.3333,262628.5,0.218268,0.943749,0.2769,189.2802
9,0.03,1.5,0.02,3.0,6,2,0.3333,0.0968,0.7,0.6667,0.6667,12.0,0.1667,43.6667,46.8137,1.3468,145904.0,288735.0,0.224199,1.075271,2.35,191.3137
10,0.03,1.5,0.05,2.4,6,2,0.3333,0.0968,0.7,0.6667,0.6667,11.1667,0.3333,39.8333,43.8492,1.3567,133474.8333,263694.1667,0.222982,1.243085,1.2716,187.1825
11,0.03,1.5,0.05,3.0,6,4,0.6667,0.3,0.9032,0.3333,0.3333,14.8333,0.1667,55.3333,59.8613,1.3227,209536.6667,389221.0,0.218594,1.060591,4.1433,150.028
12,0.03,1.8,0.02,2.4,6,3,0.5,0.1876,0.8124,0.5,0.5,12.8333,0.8333,46.1667,49.6823,1.3463,156573.8333,300111.1667,0.206534,0.903102,2.13,167.849
13,0.03,1.8,0.02,3.0,6,4,0.6667,0.3,0.9032,0.3333,0.3333,13.0,0.8333,48.6667,51.7682,1.3434,171144.8333,330247.3333,0.22958,0.921312,2.3041,140.2682
14,0.03,1.8,0.05,2.4,6,4,0.6667,0.3,0.9032,0.3333,0.3333,14.1667,0.6667,51.1667,55.4015,1.3229,153150.6667,297387.1667,0.173706,1.001065,1.6012,145.7348
15,0.03,1.8,0.05,3.0,6,5,0.8333,0.4365,0.9699,0.1667,0.1667,15.1667,0.3333,56.5,62.7942,1.3246,199957.6667,378480.1667,0.211345,0.965124,2.616,124.1275
