ParameterIndex,TrajectoryType,Seed,Mission,ProcessNoise,BaseRiskRadius,UncertaintyScale,MaxRiskRadius,Success,Collision,CollisionCount,Replans,WaitSteps,TimeSteps,PathLength,PredictionMAE,ExpandedStates,GeneratedStates,MeanPlanningTime,MaxPlanningTime,MinDynamicClearance,TotalCost
0,turn,0,0,0.01,1.5,0.02,2.4,True,False,0,19,0,73,77.971,1.218,310244,554904,0.281921,0.763987,6.3784,115.971
0,turn,1,0,0.01,1.5,0.02,2.4,False,True,1,6,0,20,23.314,1.5201,50286,117087,0.138441,0.363674,-0.1929,215.314
0,sudden-acceleration,0,0,0.01,1.5,0.02,2.4,True,False,0,21,0,83,90.456,1.1974,220100,378428,0.17619,0.729327,13.0286,132.456
0,sudden-acceleration,1,0,0.01,1.5,0.02,2.4,False,True,1,9,0,32,33.243,1.1383,43727,102826,0.074238,0.189934,0.3111,231.243
0,stop-and-go,0,0,0.01,1.5,0.02,2.4,True,False,0,15,2,57,59.142,1.269,103106,223854,0.119139,0.628141,1.0,95.142
0,stop-and-go,1,0,0.01,1.5,0.02,2.4,True,False,0,18,0,69,71.485,1.0262,278321,546826,0.267601,0.847546,6.5529,107.485
1,turn,0,0,0.01,1.5,0.02,3.0,True,False,0,19,0,73,77.971,1.218,309706,554453,0.262495,0.724357,6.3784,115.971
1,turn,1,0,0.01,1.5,0.02,3.0,False,True,1,6,0,20,23.314,1.5201,69889,158151,0.205225,0.51586,-0.1929,215.314
1,sudden-acceleration,0,0,0.01,1.5,0.02,3.0,True,False,0,21,0,83,90.456,1.1974,219908,377661,0.20553,0.955917,13.0286,132.456
1,sudden-acceleration,1,0,0.01,1.5,0.02,3.0,False,True,1,9,0,32,33.243,1.1383,43727,102826,0.092809,0.215274,0.3111,231.243
1,stop-and-go,0,0,0.01,1.5,0.02,3.0,True,False,0,15,2,57,59.142,1.269,103010,223700,0.139555,0.733483,1.0,95.142
1,stop-and-go,1,0,0.01,1.5,0.02,3.0,False,True,1,9,1,33,32.828,1.1038,186323,352892,0.364738,0.95615,0.1004,233.828
2,turn,0,0,0.01,1.5,0.05,2.4,True,False,0,19,0,76,83.042,1.2377,365469,649329,0.392131,1.021272,5.5243,121.042
2,turn,1,0,0.01,1.5,0.05,2.4,False,True,1,6,0,20,23.314,1.5201,50080,115897,0.202488,0.516341,-0.1929,215.314
2,sudden-acceleration,0,0,0.01,1.5,0.05,2.4,True,False,0,18,0,70,79.527,1.2163,130266,265277,0.162092,0.640228,7.2374,115.527
2,sudden-acceleration,1,0,0.01,1.5,0.05,2.4,False,True,1,10,0,32,33.243,1.1383,75263,166678,0.144704,0.314163,0.3111,233.243
2,stop-and-go,0,0,0.01,1.5,0.05,2.4,True,False,0,15,0,57,58.657,1.269,150309,292499,0.184737,1.000731,1.0,88.657
2,stop-and-go,1,0,0.01,1.5,0.05,2.4,True,False,0,16,0,63,67.142,1.0566,257664,492084,0.252627,0.987774,4.0993,99.142
3,turn,0,0,0.01,1.5,0.05,3.0,True,False,0,20,0,77,82.799,1.2313,390097,686775,0.327288,0.785784,6.0062,122.799
3,turn,1,0,0.01,1.5,0.05,3.0,True,False,0,17,0,65,74.941,1.2878,164992,359764,0.180063,0.737807,3.4958,108.941
3,sudden-acceleration,0,0,0.01,1.5,0.05,3.0,True,False,0,21,0,81,87.627,1.2002,260028,404861,0.214787,0.851841,13.0,129.627
3,sudden-acceleration,1,0,0.01,1.5,0.05,3.0,False,True,1,9,0,32,33.243,1.1383,90566,179922,0.186882,0.435047,0.3111,231.243
3,stop-and-go,0,0,0.01,1.5,0.05,3.0,True,False,0,15,0,57,58.657,1.269,172337,323311,0.239641,1.079962,1.0,88.657
3,stop-and-go,1,0,0.01,1.5,0.05,3.0,True,False,0,16,0,64,68.556,1.0468,262061,495396,0.260147,0.910374,4.0993,100.556
4,turn,0,0,0.01,1.8,0.02,2.4,True,False,0,21,0,83,90.456,1.2206,405017,721678,0.319986,0.737038,8.9688,132.456
4,turn,1,0,0.01,1.8,0.02,2.4,True,False,0,14,0,53,57.971,1.2774,76985,165061,0.094163,0.537313,0.6233,85.971
4,sudden-acceleration,0,0,0.01,1.8,0.02,2.4,True,False,0,18,0,70,79.527,1.2163,130109,265576,0.127953,0.449146,7.2374,115.527
4,sudden-acceleration,1,0,0.01,1.8,0.02,2.4,True,False,0,16,0,56,59.728,1.1267,76316,174311,0.078192,0.249896,1.153,91.728
4,stop-and-go,0,0,0.01,1.8,0.02,2.4,True,False,0,15,2,59,58.657,1.2518,187244,365833,0.223068,0.934296,1.0,94.657
4,stop-and-go,1,0,0.01,1.8,0.02,2.4,True,False,0,16,0,63,67.142,1.0566,264149,504432,0.253304,0.889401,4.5787,99.142
5,turn,0,0,0.01,1.8,0.02,3.0,True,False,0,21,0,81,95.083,1.2245,375620,690195,0.314091,0.856709,10.9828,137.083
5,turn,1,0,0.01,1.8,0.02,3.0,True,False,0,14,0,53,57.971,1.2774,98410,206688,0.126498,0.649534,0.6233,85.971
5,sudden-acceleration,0,0,0.01,1.8,0.02,3.0,True,False,0,18,0,70,79.527,1.2163,129400,263279,0.121223,0.457095,7.2374,115.527
5,sudden-acceleration,1,0,0.01,1.8,0.02,3.0,True,False,0,15,0,56,60.556,1.1267,76952,167868,0.085538,0.288899,1.153,90.556
5,stop-and-go,0,0,0.01,1.8,0.02,3.0,True,False,0,15,2,59,57.0,1.2518,183777,356848,0.204216,0.898816,1.0,93.0
5,stop-and-go,1,0,0.01,1.8,0.02,3.0,True,False,0,15,0,59,63.142,1.0392,241390,447535,0.240054,0.845695,2.6735,93.142
6,turn,0,0,0.01,1.8,0.05,2.4,True,False,0,21,0,83,90.456,1.2206,419782,745237,0.349073,0.781659,8.12,132.456
6,turn,1,0,0.01,1.8,0.05,2.4,False,True,1,6,1,21,22.899,1.5221,111413,209624,0.321685,0.593311,-0.54,217.899
6,sudden-acceleration,0,0,0.01,1.8,0.05,2.4,True,False,0,18,0,70,79.527,1.2163,128704,261330,0.113127,0.418603,7.2374,115.527
6,sudden-acceleration,1,0,0.01,1.8,0.05,2.4,True,False,0,15,0,56,60.556,1.1267,103920,207706,0.122007,0.390488,1.153,90.556
6,stop-and-go,0,0,0.01,1.8,0.05,2.4,True,False,0,15,3,59,58.071,1.2518,188922,358592,0.259913,0.974721,2.0,97.071
6,stop-and-go,1,0,0.01,1.8,0.05,2.4,True,False,0,15,0,59,62.314,1.0392,263329,481075,0.345684,1.54103,2.6735,92.314
7,turn,0,0,0.01,1.8,0.05,3.0,True,False,0,20,0,80,87.87,1.224,444585,781578,0.422139,0.977476,6.8677,127.87
7,turn,1,0,0.01,1.8,0.05,3.0,True,False,0,17,0,65,74.941,1.2878,221848,461733,0.238564,0.963542,3.4958,108.941
7,sudden-acceleration,0,0,0.01,1.8,0.05,3.0,True,False,0,18,0,70,78.698,1.2163,148031,268863,0.140425,0.605563,6.4674,114.698
7,sudden-acceleration,1,0,0.01,1.8,0.05,3.0,True,False,0,15,0,56,60.556,1.1267,140620,262704,0.154694,0.667869,1.153,90.556
7,stop-and-go,0,0,0.01,1.8,0.05,3.0,True,False,0,15,2,59,57.0,1.2518,225878,400625,0.221122,0.998916,1.0,93.0
7,stop-and-go,1,0,0.01,1.8,0.05,3.0,True,False,0,18,0,71,75.142,1.0153,345194,634948,0.353289,1.146084,7.4895,111.142
8,turn,0,0,0.03,1.5,0.02,2.4,False,True,1,9,0,29,29.828,1.4419,113234,200297,0.214384,0.597816,-0.1377,227.828
8,turn,1,0,0.03,1.5,0.02,2.4,False,True,1,6,1,21,22.485,1.5501,55365,117169,0.189446,0.49746,-0.54,217.485
8,sudden-acceleration,0,0,0.03,1.5,0.02,2.4,True,False,0,20,0,78,90.841,1.3301,307663,564072,0.311388,0.838988,0.569,130.841
8,sudden-acceleration,1,0,0.03,1.5,0.02,2.4,False,True,1,9,0,32,34.071,1.2726,38817,91056,0.077715,0.157764,0.3111,232.071
8,stop-and-go,0,0,0.03,1.5,0.02,2.4,True,False,0,15,0,57,61.971,1.3557,108681,236115,0.144949,0.77797,1.0,91.971
8,stop-and-go,1,0,0.03,1.5,0.02,2.4,False,True,1,10,0,33,35.485,1.1813,187046,367062,0.371725,0.943749,0.4593,235.485
9,turn,0,0,0.03,1.5,0.02,3.0,False,True,1,9,0,29,29.828,1.4419,112230,197693,0.219803,0.605963,-0.1377,227.828
9,turn,1,0,0.03,1.5,0.02,3.0,False,True,1,6,1,21,22.485,1.5501,74820,158163,0.259029,0.602293,-0.54,217.485
9,sudden-acceleration,0,0,0.03,1.5,0.02,3.0,True,False,0,23,0,90,97.042,1.2795,356032,688504,0.321201,1.075271,13.0073,143.042
9,sudden-acceleration,1,0,0.03,1.5,0.02,3.0,False,True,1,9,0,32,34.071,1.2726,38671,90331,0.071284,0.119407,0.3111,232.071
9,stop-and-go,0,0,0.03,1.5,0.02,3.0,True,False,0,15,0,57,61.971,1.3557,108401,235455,0.138263,0.701149,1.0,91.971
9,stop-and-go,1,0,0.03,1.5,0.02,3.0,False,True,1,10,0,33,35.485,1.1813,185270,362264,0.335614,0.858076,0.4593,235.485
10,turn,0,0,0.03,1.5,0.05,2.4,False,True,1,10,1,29,29.243,1.4419,124772,218773,0.209042,0.698314,-0.1377,232.243
10,turn,1,0,0.03,1.5,0.05,2.4,False,True,1,6,1,21,22.485,1.5501,54484,115196,0.157462,0.389233,-0.54,217.485
10,sudden-acceleration,0,0,0.03,1.5,0.05,2.4,True,False,0,17,0,66,80.497,1.3376,192831,397342,0.216899,0.682782,6.9494,114.497
10,sudden-acceleration,1,0,0.03,1.5,0.05,2.4,False,True,1,9,0,33,34.243,1.2733,54060,120317,0.130881,0.262011,-0.1014,232.243
10,stop-and-go,0,0,0.03,1.5,0.05,2.4,True,False,0,15,0,57,61.142,1.3557,149464,308686,0.223753,1.243085,1.0,91.142
10,stop-and-go,1,0,0.03,1.5,0.05,2.4,False,True,1,10,0,33,35.485,1.1813,225238,421851,0.399857,1.037987,0.4593,235.485
11,turn,0,0,0.03,1.5,0.05,3.0,False,True,1,10,1,29,29.243,1.4419,114536,202605,0.189505,0.560767,-0.1377,232.243
11,turn,1,0,0.03,1.5,0.05,3.0,True,False,0,19,0,73,82.113,1.4009,308058,552259,0.262394,0.890376,7.554,120.113
11,sudden-acceleration,0,0,0.03,1.5,0.05,3.0,True,False,0,21,0,81,87.627,1.314,349657,637162,0.282029,0.847489,13.0,129.627
11,sudden-acceleration,1,0,0.03,1.5,0.05,3.0,False,True,1,9,0,33,34.243,1.2733,47114,110582,0.091907,0.175758,-0.1014,232.243
11,stop-and-go,0,0,0.03,1.5,0.05,3.0,True,False,0,15,0,57,61.971,1.3557,169257,331750,0.226076,1.060591,1.0,91.971
11,stop-and-go,1,0,0.03,1.5,0.05,3.0,True,False,0,15,0,59,63.971,1.1503,268598,500968,0.259654,0.925835,3.545,93.971
12,turn,0,0,0.03,1.8,0.02,2.4,False,True,1,9,1,30,29.414,1.4475,113476,199972,0.194268,0.592621,-0.3414,230.414
12,turn,1,0,0.03,1.8,0.02,2.4,False,True,1,6,1,21,22.485,1.5501,82930,164818,0.266014,0.604678,-0.54,217.485
12,sudden-acceleration,0,0,0.03,1.8,0.02,2.4,True,False,0,17,0,66,79.669,1.3376,179533,367529,0.184539,0.494648,6.5951,113.669
12,sudden-acceleration,1,0,0.03,1.8,0.02,2.4,False,True,1,12,1,35,36.485,1.2406,55622,126151,0.06475,0.152295,0.0,243.485
12,stop-and-go,0,0,0.03,1.8,0.02,2.4,True,False,0,16,1,64,65.485,1.3247,279109,503752,0.303278,0.851785,5.5904,100.485
12,stop-and-go,1,0,0.03,1.8,0.02,2.4,True,False,0,17,1,61,64.556,1.1771,228773,438445,0.226355,0.903102,1.4758,101.556
13,turn,0,0,0.03,1.8,0.02,3.0,False,True,1,9,1,30,29.414,1.4475,124426,220709,0.219835,0.575938,-0.3414,230.414
13,turn,1,0,0.03,1.8,0.02,3.0,False,True,1,6,1,21,22.485,1.5501,101491,207393,0.293244,0.641176,-0.54,217.485
13,sudden-acceleration,0,0,0.03,1.8,0.02,3.0,True,False,0,17,0,66,78.012,1.3376,237708,497598,0.249523,0.715223,6.4674,112.012
