PositionNoise,RiskScale,Trials,Successes,SuccessRate,MeanPredictionMAE,MeanRiskRadius,MeanReplans,MeanWaitSteps,MeanTotalCost
0.75,0.01,30,23,0.7667,1.2511,1.5126,2.7,6.9667,177.3493
0.75,0.02,30,24,0.8,1.2544,1.525,2.8333,7.4,179.1697
0.75,0.05,30,16,0.5333,1.2635,1.5633,2.5667,6.5667,214.2801
0.75,0.1,30,17,0.5667,1.2428,1.6268,2.2667,6.5,207.908
0.75,0.15,30,16,0.5333,1.2671,1.6906,2.3667,6.8333,218.7501
1.5,0.01,30,16,0.5333,2.1492,1.5202,3.4,8.1333,232.0833
1.5,0.02,30,19,0.6333,2.1452,1.5403,3.5667,8.3667,211.3719
1.5,0.05,30,17,0.5667,2.1542,1.6008,3.1,7.6667,216.8152
1.5,0.1,30,17,0.5667,2.1357,1.7016,2.7333,7.3667,215.0771
1.5,0.15,30,15,0.5,2.1471,1.8026,2.6667,7.1,226.7589
2.5,0.01,30,16,0.5333,3.4354,1.529,3.7,8.3,232.2485
2.5,0.02,30,12,0.4,3.4794,1.5581,3.2333,7.2,246.2238
2.5,0.05,30,11,0.3667,3.5364,1.6452,3.1333,7.5667,251.2791
2.5,0.1,30,8,0.2667,3.5922,1.7906,3.0333,7.4,270.7599
2.5,0.15,30,12,0.4,3.5431,1.9351,2.6667,7.2,243.9418
