PositionNoise,RiskScale,Seed,Mission,Success,Replans,WaitSteps,PathLength,PredictionMAE,MeanRiskRadius,TotalCost
0.75,0.01,0,0,True,4,10,113.042,1.3651,1.5124,163.042
0.75,0.01,0,1,True,1,5,91.042,1.225,1.5125,111.042
0.75,0.01,0,2,False,5,12,89.142,1.1058,1.5125,390.142
0.75,0.01,1,0,True,2,7,98.355,1.3975,1.5125,129.355
0.75,0.01,1,1,True,2,6,86.657,1.1762,1.5125,114.657
0.75,0.01,1,2,True,1,5,95.042,1.3443,1.5125,115.042
0.75,0.01,2,0,True,1,4,99.042,1.3456,1.5124,116.042
0.75,0.01,2,1,True,4,9,113.627,1.2298,1.5124,160.627
0.75,0.01,2,2,True,2,8,89.87,1.1259,1.5125,123.87
0.75,0.01,3,0,True,6,10,103.77,1.1784,1.5124,163.77
0.75,0.01,3,1,False,2,6,39.071,1.2987,1.5128,307.071
0.75,0.01,3,2,True,1,3,78.012,1.2288,1.5125,92.012
0.75,0.01,4,0,True,2,7,75.728,1.2657,1.5125,106.728
0.75,0.01,4,1,True,1,4,93.042,1.1457,1.5125,110.042
0.75,0.01,4,2,True,1,4,103.042,1.3544,1.5124,120.042
0.75,0.01,5,0,True,6,14,155.669,1.2317,1.5124,227.669
0.75,0.01,5,1,False,1,3,26.0,1.2489,1.513,280.0
0.75,0.01,5,2,True,1,3,76.113,1.194,1.5125,90.113
0.75,0.01,6,0,True,2,8,110.113,1.2258,1.5124,144.113
0.75,0.01,6,1,False,4,6,25.243,1.4469,1.5131,303.243
0.75,0.01,6,2,True,1,3,80.841,1.2916,1.5125,94.841
0.75,0.01,7,0,False,2,6,43.657,1.3855,1.5127,311.657
0.75,0.01,7,1,False,1,3,46.527,1.3952,1.5128,300.527
0.75,0.01,7,2,True,4,13,127.77,1.1305,1.5124,186.77
0.75,0.01,8,0,True,8,17,120.598,1.122,1.5124,211.598
0.75,0.01,8,1,False,7,9,30.243,1.2087,1.513,332.243
0.75,0.01,8,2,True,0,1,74.841,1.2626,1.5126,77.841
0.75,0.01,9,0,True,4,7,56.314,1.134,1.5126,97.314
0.75,0.01,9,1,True,4,11,171.024,1.2415,1.5124,224.024
0.75,0.01,9,2,True,1,5,95.042,1.226,1.5125,115.042
0.75,0.02,0,0,True,4,7,150.456,1.3051,1.5247,191.456
0.75,0.02,0,1,True,1,5,91.042,1.225,1.5249,111.042
0.75,0.02,0,2,True,4,10,152.799,1.202,1.5247,202.799
0.75,0.02,1,0,True,2,7,95.042,1.3975,1.5249,126.042
0.75,0.02,1,1,True,2,6,86.657,1.1762,1.5249,114.657
0.75,0.02,1,2,True,1,5,95.042,1.3443,1.5249,115.042
0.75,0.02,2,0,True,1,4,99.042,1.3456,1.5249,116.042
0.75,0.02,2,1,True,4,9,114.456,1.2298,1.5248,161.456
0.75,0.02,2,2,True,2,8,89.87,1.1259,1.5249,123.87
0.75,0.02,3,0,True,6,10,104.355,1.1796,1.5249,164.355
0.75,0.02,3,1,False,2,6,39.071,1.2987,1.5255,307.071
0.75,0.02,3,2,True,1,3,78.012,1.2288,1.5251,92.012
0.75,0.02,4,0,True,2,7,76.556,1.2657,1.525,107.556
0.75,0.02,4,1,True,2,7,90.698,1.1366,1.5249,121.698
0.75,0.02,4,2,True,1,4,103.042,1.3544,1.5249,120.042
0.75,0.02,5,0,True,8,17,160.497,1.2288,1.5247,251.497
0.75,0.02,5,1,False,1,3,26.0,1.2489,1.5261,280.0
0.75,0.02,5,2,True,1,4,83.184,1.2019,1.525,100.184
0.75,0.02,6,0,False,2,6,27.828,1.4682,1.5259,295.828
0.75,0.02,6,1,True,2,8,119.728,1.2454,1.5248,153.728
0.75,0.02,6,2,True,2,6,101.87,1.3227,1.5249,129.87
0.75,0.02,7,0,False,4,12,92.456,1.2884,1.5249,388.456
0.75,0.02,7,1,False,1,3,42.799,1.3952,1.5256,296.799
0.75,0.02,7,2,True,4,12,104.941,1.14,1.5249,160.941
0.75,0.02,8,0,True,8,17,119.184,1.1207,1.5248,210.184
0.75,0.02,8,1,False,7,9,30.243,1.2087,1.5259,332.243
0.75,0.02,8,2,True,0,1,74.841,1.2626,1.5252,77.841
0.75,0.02,9,0,True,5,10,132.314,1.2067,1.5247,187.314
0.75,0.02,9,1,True,4,11,171.024,1.2415,1.5247,224.024
0.75,0.02,9,2,True,1,5,91.042,1.2375,1.5249,111.042
0.75,0.05,0,0,False,7,10,81.314,1.3885,1.5624,386.314
0.75,0.05,0,1,True,2,6,89.042,1.2234,1.5624,117.042
0.75,0.05,0,2,False,1,3,25.0,1.0572,1.5654,279.0
0.75,0.05,1,0,True,2,8,95.042,1.3883,1.5623,129.042
0.75,0.05,1,1,True,2,7,86.657,1.1748,1.5623,117.657
0.75,0.05,1,2,True,1,5,95.042,1.3443,1.5623,115.042
0.75,0.05,2,0,True,1,4,99.042,1.3456,1.5622,116.042
0.75,0.05,2,1,True,4,9,113.042,1.2311,1.5621,160.042
0.75,0.05,2,2,True,2,8,89.87,1.1259,1.5623,123.87
0.75,0.05,3,0,True,6,10,104.941,1.1758,1.5622,164.941
0.75,0.05,3,1,False,2,6,39.899,1.2987,1.5639,307.899
0.75,0.05,3,2,False,6,12,36.314,1.2646,1.564,342.314
0.75,0.05,4,0,True,2,8,76.556,1.261,1.5625,110.556
0.75,0.05,4,1,True,2,7,90.698,1.1366,1.5624,121.698
0.75,0.05,4,2,True,1,4,101.042,1.3651,1.5622,118.042
0.75,0.05,5,0,True,3,8,104.941,1.2483,1.5622,143.941
0.75,0.05,5,1,False,1,3,26.0,1.2489,1.5652,280.0
0.75,0.05,5,2,True,1,5,83.77,1.1973,1.5625,103.77
0.75,0.05,6,0,False,2,6,27.828,1.4682,1.5648,295.828
0.75,0.05,6,1,False,1,3,28.243,1.4357,1.5651,282.243
0.75,0.05,6,2,False,2,6,21.0,1.2958,1.5657,289.0
0.75,0.05,7,0,False,4,12,91.627,1.2884,1.5623,387.627
0.75,0.05,7,1,False,1,3,42.799,1.3952,1.564,296.799
0.75,0.05,7,2,False,3,9,42.899,1.2002,1.5635,324.899
0.75,0.05,8,0,True,3,6,111.627,1.147,1.5621,144.627
0.75,0.05,8,1,False,7,9,30.243,1.2087,1.5648,332.243
0.75,0.05,8,2,True,0,1,74.841,1.2626,1.5629,77.841
0.75,0.05,9,0,False,6,12,66.657,1.1619,1.5626,372.657
0.75,0.05,9,1,False,1,3,13.0,1.3294,1.5688,267.0
0.75,0.05,9,2,True,1,4,103.426,1.2379,1.5623,120.426
0.75,0.1,0,0,False,4,8,73.071,1.4026,1.6251,357.071
0.75,0.1,0,1,True,1,5,94.255,1.216,1.6248,114.255
0.75,0.1,0,2,False,1,3,25.0,1.0572,1.6307,279.0
0.75,0.1,1,0,True,2,8,95.042,1.3883,1.6245,129.042
0.75,0.1,1,1,True,2,7,86.657,1.1748,1.6246,117.657
0.75,0.1,1,2,True,1,5,95.042,1.3443,1.6246,115.042
0.75,0.1,2,0,True,2,5,99.042,1.3456,1.6245,124.042
0.75,0.1,2,1,True,6,12,183.669,1.2113,1.6233,249.669
0.75,0.1,2,2,True,2,8,89.87,1.1259,1.6247,123.87
0.75,0.1,3,0,False,2,6,33.657,1.1947,1.6285,301.657
0.75,0.1,3,1,True,2,6,76.497,1.301,1.6256,104.497
0.75,0.1,3,2,False,3,6,25.828,1.2719,1.6304,298.828
0.75,0.1,4,0,True,2,8,76.556,1.261,1.625,110.556
0.75,0.1,4,1,True,2,7,90.698,1.1366,1.6247,121.698
0.75,0.1,4,2,True,1,4,101.042,1.3651,1.6244,118.042
0.75,0.1,5,0,True,3,8,89.042,1.2561,1.6247,128.042
0.75,0.1,5,1,False,1,3,26.0,1.2489,1.6304,280.0
0.75,0.1,5,2,True,1,5,83.77,1.1973,1.6251,103.77
0.75,0.1,6,0,True,3,10,106.698,1.2259,1.6242,151.698
0.75,0.1,6,1,True,1,4,111.184,1.2837,1.6243,128.184
0.75,0.1,6,2,False,2,6,21.0,1.2958,1.6314,289.0
0.75,0.1,7,0,False,4,12,91.627,1.2884,1.6245,387.627
0.75,0.1,7,1,False,1,3,42.799,1.3952,1.628,296.799
0.75,0.1,7,2,False,3,9,42.899,1.2002,1.6271,324.899
0.75,0.1,8,0,True,3,10,109.971,1.1362,1.6241,154.971
0.75,0.1,8,1,False,3,5,22.414,1.1596,1.6318,292.414
0.75,0.1,8,2,False,2,3,15.828,1.0701,1.6367,274.828
0.75,0.1,9,0,False,6,12,66.657,1.1619,1.6253,372.657
0.75,0.1,9,1,False,1,3,13.0,1.3294,1.6377,267.0
0.75,0.1,9,2,True,1,4,103.426,1.2379,1.6245,120.426
0.75,0.15,0,0,False,4,8,73.071,1.4026,1.6877,357.071
0.75,0.15,0,1,True,1,4,94.255,1.217,1.6872,111.255
0.75,0.15,0,2,False,1,3,25.0,1.0572,1.6961,279.0
0.75,0.15,1,0,True,2,8,95.042,1.3883,1.6868,129.042
0.75,0.15,1,1,True,2,7,86.657,1.1748,1.6869,117.657
0.75,0.15,1,2,True,1,5,95.042,1.3443,1.6868,115.042
